Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,516.5227739810944
119,single text,1 trial Ready,0.0,521.2212641239166
0,single text,4,0.5,0.011353254318237305
1,ISI,+,2,0.5309460163116455
2,single text,1,0.5,2.5605971813201904
3,ISI,+,2,3.077141046524048
4,single text,3,0.5,5.0977983474731445
5,ISI,+,1,5.62716007232666
6,single text,2,0.5,6.644183158874512
7,Bundle Interval,...,10,7.16339111328125
8,seq texts,"['1', '4', '2', '3', '1']",15,17.19930911064148
9,ISI,+,21,18.54681396484375
10,single text,2,0.5,39.561793088912964
11,ISI,+,2,40.084495306015015
12,single text,3,0.5,42.1139440536499
13,ISI,+,1,42.62671899795532
14,single text,4,0.5,43.643728256225586
15,ISI,+,3,44.16364598274231
16,single text,1,0.5,47.19690918922424
17,Bundle Interval,...,10,47.7096381187439
18,seq texts,"['4', '3', '2', '1', '4']",15,57.7509560585022
19,ISI,+,21,59.03046727180481
20,single text,2,0.5,80.0658450126648
21,ISI,+,4,80.59561920166016
22,single text,4,0.5,84.62984013557434
23,ISI,+,1,85.14277911186218
24,single text,1,0.5,86.15907406806946
25,ISI,+,4,86.679856300354
26,single text,3,0.5,90.71341800689697
27,Bundle Interval,...,10,91.2426393032074
28,seq texts,"['4', '3', '2', '1', '4']",15,101.27979707717896
29,ISI,+,21,103.13134431838989
30,single text,4,0.5,124.16258215904236
31,ISI,+,3,124.67899513244629
32,single text,3,0.5,127.71172213554382
33,ISI,+,8,128.22573328018188
34,single text,1,0.5,136.26380705833435
35,ISI,+,5,136.77618622779846
36,single text,2,0.5,141.79566431045532
37,Bundle Interval,...,10,142.30919408798218
38,seq texts,"['1', '4', '2', '3', '1']",15,152.34821724891663
39,ISI,+,21,153.79320311546326
40,single text,3,0.5,174.83058834075928
41,ISI,+,4,175.36082816123962
42,single text,4,0.5,179.39471220970154
43,ISI,+,3,179.90820717811584
44,single text,1,0.5,182.92562818527222
45,ISI,+,2,183.44475436210632
46,single text,2,0.5,185.4783239364624
47,Bundle Interval,...,10,186.0080051422119
48,seq texts,"['1', '4', '2', '3', '1']",15,196.04748916625977
49,ISI,+,21,197.42723608016968
50,single text,3,0.5,218.46450209617615
51,ISI,+,2,218.9940962791443
52,single text,4,0.5,221.0276460647583
53,ISI,+,6,221.54074716567993
54,single text,2,0.5,227.58088517189026
55,ISI,+,1,228.10993099212646
56,single text,1,0.5,229.12430000305176
57,Bundle Interval,...,10,229.64424228668213
58,seq texts,"['4', '3', '2', '1', '4']",15,239.6795573234558
59,ISI,+,21,241.0782811641693
60,single text,3,0.5,262.1126871109009
61,ISI,+,1,262.6430022716522
62,single text,2,0.5,263.6569092273712
63,ISI,+,7,264.1772780418396
64,single text,4,0.5,271.21163511276245
65,ISI,+,5,271.7267301082611
66,single text,1,0.5,276.7440142631531
67,Bundle Interval,...,10,277.2588312625885
68,seq texts,"['1', '4', '2', '3', '1']",15,287.2941782474518
69,ISI,+,21,288.67823815345764
70,single text,2,0.5,309.7088062763214
71,ISI,+,4,310.22524905204773
72,single text,3,0.5,314.2569501399994
73,ISI,+,1,314.77028012275696
74,single text,1,0.5,315.78608322143555
75,ISI,+,4,316.3056609630585
76,single text,4,0.5,320.3385763168335
77,Bundle Interval,...,10,320.8518211841583
78,seq texts,"['1', '4', '2', '3', '1']",15,330.88999128341675
79,ISI,+,21,332.46946001052856
80,single text,2,0.5,353.50475430488586
81,ISI,+,2,354.0345811843872
82,single text,1,0.5,356.0681622028351
83,ISI,+,5,356.58213210105896
84,single text,4,0.5,361.598797082901
85,ISI,+,6,362.1169581413269
86,single text,3,0.5,368.15237307548523
87,Bundle Interval,...,10,368.68657898902893
88,seq texts,"['4', '3', '2', '1', '4']",15,378.72068309783936
89,ISI,+,21,380.0504961013794
90,single text,4,0.5,401.08457016944885
91,ISI,+,4,401.6178412437439
92,single text,2,0.5,405.6504611968994
93,ISI,+,1,406.16378021240234
94,single text,1,0.5,407.1804370880127
95,ISI,+,1,407.7001850605011
96,single text,3,0.5,408.73064708709717
97,Bundle Interval,...,10,409.2470951080322
98,seq texts,"['1', '4', '2', '3', '1']",15,419.26857924461365
99,ISI,+,21,420.43151021003723
100,single text,1,0.5,441.46862411499023
101,ISI,+,1,441.9992151260376
102,single text,4,0.5,443.01278805732727
103,ISI,+,1,443.5298361778259
104,single text,3,0.5,444.5464880466461
105,ISI,+,1,445.0630741119385
106,single text,2,0.5,446.0831251144409
107,Bundle Interval,...,10,446.5963180065155
