Step,Response,seconds
1,3,0.8439927101135254
3,4,2.094352960586548
5,2,5.6827006340026855
7,1,8.290964841842651
8,1,18.833378791809082
8,4,18.96426486968994
8,2,19.096057891845703
8,3,19.240267038345337
8,1,19.421275854110718
8,"['1', '4', '2', '3', '1']",19.421547889709473
9,1,30.03646993637085
11,1,41.09821796417236
13,4,43.71677279472351
15,3,45.21201205253601
17,2,46.807289838790894
18,4,57.593849897384644
18,3,57.98903489112854
18,2,58.194461822509766
18,1,58.36453890800476
18,4,58.52832579612732
18,"['4', '3', '2', '1', '4']",58.52859807014465
21,1,80.35870385169983
23,2,81.76667904853821
25,4,87.4090268611908
27,3,89.86707878112793
28,1,100.72611999511719
28,4,100.89356184005737
28,2,101.0775580406189
28,3,101.20551490783691
28,1,101.31337189674377
28,"['1', '4', '2', '3', '1']",101.31361985206604
31,1,123.09292697906494
33,3,126.87893390655518
35,2,135.14560389518738
37,4,140.72843289375305
38,4,151.31299781799316
38,3,151.47301506996155
38,2,151.60926580429077
38,1,151.7889847755432
38,4,152.0022327899933
38,"['4', '3', '2', '1', '4']",152.0024869441986
41,3,173.86387300491333
43,1,175.20599603652954
45,4,178.83047080039978
47,2,182.37393999099731
48,4,193.0505428314209
48,3,193.28141379356384
48,2,193.4411039352417
48,1,193.6331708431244
48,4,193.81056475639343
48,"['4', '3', '2', '1', '4']",193.81083703041077
51,2,215.58508682250977
53,3,218.08039665222168
55,1,222.61517596244812
57,4,224.54560470581055
58,1,234.66512274742126
58,4,234.82200384140015
58,2,234.99089193344116
58,3,235.1608898639679
58,1,235.26707196235657
58,"['1', '4', '2', '3', '1']",235.26734375953674
61,4,257.1808650493622
63,3,264.7302987575531
65,1,266.3746988773346
67,2,267.6193118095398
67,2,274.13742685317993
68,4,278.2743558883667
68,3,278.4155888557434
68,2,278.5671977996826
68,1,278.7535209655762
68,4,278.86950397491455
68,"['4', '3', '2', '1', '4']",278.8697700500488
71,3,300.6617147922516
73,2,302.111359834671
75,1,306.6316647529602
77,4,308.2624807357788
78,1,318.74431800842285
78,4,318.8700349330902
78,2,319.0159947872162
78,3,319.15194392204285
78,1,319.2800440788269
78,"['1', '4', '2', '3', '1']",319.28031492233276
81,2,341.05076575279236
83,1,346.52247285842896
85,3,350.1110169887543
87,4,353.2351698875427
88,4,363.2530598640442
88,3,363.4157118797302
88,2,363.4918258190155
88,1,363.6897437572479
88,4,363.8686738014221
88,"['4', '3', '2', '1', '4']",363.86895275115967
89,2,369.55829977989197
91,2,385.4963438510895
93,1,392.08206391334534
95,4,393.58813071250916
97,3,396.08084297180176
97,2,399.24694085121155
98,1,406.6566948890686
98,4,406.7936828136444
98,2,406.9466378688812
98,3,407.0906879901886
98,1,407.2085907459259
98,"['1', '4', '2', '3', '1']",407.20885181427
101,1,428.809122800827
102,4,431.3040888309479
105,2,436.9326527118683
107,3,443.5065908432007
108,1,454.2453598976135
108,4,454.3622679710388
108,2,454.54026794433594
108,3,454.66032099723816
108,1,454.7783558368683
108,"['1', '4', '2', '3', '1']",454.7786319255829
113,1,482.99816703796387
115,3,488.8169159889221
115,2,489.8878610134125
117,2,491.0668339729309
118,4,501.61453080177307
118,3,501.793860912323
118,2,501.9258267879486
118,1,502.0901098251343
118,4,502.22206592559814
118,"['4', '3', '2', '1', '4']",502.22233867645264
