Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.015697240829467773
-1,single text,0 trial Ready,0.0,13.209131002426147
0,single text,3,0.5,0.013914823532104492
1,ISI,+,1,0.5279347896575928
2,single text,1,0.5,1.5442287921905518
3,ISI,+,3,2.0604827404022217
4,single text,4,0.5,5.083814859390259
5,ISI,+,3,5.594596862792969
6,single text,2,0.5,8.615761756896973
7,Bundle Interval,...,10,9.144155740737915
8,seq texts,"['1', '4', '2', '3', '1']",15,19.184555768966675
9,ISI,+,21,20.762865781784058
10,single text,2,0.5,41.799654722213745
11,ISI,+,6,42.31106972694397
12,single text,1,0.5,48.33169770240784
13,ISI,+,1,48.84438467025757
14,single text,4,0.5,49.86005973815918
15,ISI,+,2,50.37995481491089
16,single text,3,0.5,52.413567781448364
17,Bundle Interval,...,10,52.94341278076172
18,seq texts,"['4', '3', '2', '1', '4']",15,62.98014688491821
19,ISI,+,21,64.81504464149475
20,single text,1,0.5,85.85118079185486
21,ISI,+,1,86.37871479988098
22,single text,2,0.5,87.40937185287476
23,ISI,+,5,87.92903971672058
24,single text,4,0.5,92.94345760345459
25,ISI,+,2,93.45972084999084
26,single text,3,0.5,95.47899174690247
27,Bundle Interval,...,10,95.99292063713074
28,seq texts,"['1', '4', '2', '3', '1']",15,106.03184485435486
29,ISI,+,21,108.02974891662598
30,single text,4,0.5,129.06562876701355
31,ISI,+,6,129.59449291229248
32,single text,1,0.5,135.61258578300476
33,ISI,+,5,136.1443898677826
34,single text,3,0.5,141.1825966835022
35,ISI,+,2,141.71035861968994
36,single text,2,0.5,143.7280237674713
37,Bundle Interval,...,10,144.24155592918396
38,seq texts,"['4', '3', '2', '1', '4']",15,154.26024174690247
39,ISI,+,21,156.21226596832275
40,single text,3,0.5,177.24473071098328
41,ISI,+,1,177.77819275856018
42,single text,2,0.5,178.80734181404114
43,ISI,+,4,179.327214717865
44,single text,1,0.5,183.3437647819519
45,ISI,+,1,183.85736656188965
46,single text,4,0.5,184.874098777771
47,Bundle Interval,...,10,185.39412093162537
48,seq texts,"['4', '3', '2', '1', '4']",15,195.42933869361877
49,ISI,+,21,199.17522978782654
50,single text,2,0.5,220.21266078948975
51,ISI,+,5,220.7420778274536
52,single text,1,0.5,225.76077580451965
53,ISI,+,3,226.27542662620544
54,single text,3,0.5,229.31009984016418
55,ISI,+,2,229.82365584373474
56,single text,4,0.5,231.84267473220825
57,Bundle Interval,...,10,232.35645961761475
58,seq texts,"['1', '4', '2', '3', '1']",15,242.3933687210083
59,ISI,+,21,244.0603587627411
60,single text,1,0.5,265.0971927642822
61,ISI,+,2,265.62520480155945
62,single text,4,0.5,267.6427528858185
63,ISI,+,1,268.15574765205383
64,single text,3,0.5,269.1726987361908
65,ISI,+,1,269.6923246383667
66,single text,2,0.5,270.706063747406
67,Bundle Interval,...,10,271.22560691833496
68,seq texts,"['4', '3', '2', '1', '4']",15,281.2618408203125
69,ISI,+,21,283.508181810379
70,single text,2,0.5,304.545117855072
71,ISI,+,3,305.07440066337585
72,single text,4,0.5,308.10858392715454
73,ISI,+,1,308.6216959953308
74,single text,3,0.5,309.63826084136963
75,ISI,+,3,310.1583249568939
76,single text,1,0.5,313.19224977493286
77,Bundle Interval,...,10,313.7049767971039
78,seq texts,"['1', '4', '2', '3', '1']",15,323.74358558654785
79,ISI,+,21,325.9416136741638
80,single text,2,0.5,346.9778518676758
81,ISI,+,2,347.48850774765015
82,single text,3,0.5,349.50801277160645
83,ISI,+,4,350.02096581459045
84,single text,1,0.5,354.0404589176178
85,ISI,+,1,354.5538387298584
86,single text,4,0.5,355.5703716278076
87,Bundle Interval,...,10,356.08811688423157
88,seq texts,"['4', '3', '2', '1', '4']",15,366.1260898113251
89,ISI,+,21,367.9756028652191
90,single text,2,0.5,389.0106098651886
91,ISI,+,3,389.5394597053528
92,single text,3,0.5,392.5542709827423
93,ISI,+,1,393.073561668396
94,single text,4,0.5,394.0867269039154
95,ISI,+,2,394.6063528060913
96,single text,1,0.5,396.6397969722748
97,Bundle Interval,...,10,397.1532485485077
98,seq texts,"['1', '4', '2', '3', '1']",15,407.19285559654236
99,ISI,+,21,409.88769483566284
100,single text,4,0.5,430.9073417186737
101,ISI,+,7,431.4386088848114
102,single text,3,0.5,438.45674180984497
103,ISI,+,1,438.97005677223206
104,single text,1,0.5,439.9857368469238
105,ISI,+,1,440.5071487426758
106,single text,2,0.5,441.53630685806274
107,Bundle Interval,...,10,442.0554037094116
108,seq texts,"['1', '4', '2', '3', '1']",15,452.0892107486725
109,ISI,+,21,453.58812069892883
110,single text,1,0.5,474.6064336299896
111,ISI,+,4,475.1210608482361
112,single text,3,0.5,479.15246057510376
113,ISI,+,2,479.6722207069397
114,single text,4,0.5,481.6887137889862
115,ISI,+,8,482.2016317844391
116,single text,2,0.5,490.24038195610046
117,Bundle Interval,...,10,490.77099084854126
118,seq texts,"['4', '3', '2', '1', '4']",15,500.80796694755554
119,ISI,+,21,502.93957471847534
-1,End,End,0,523.9402768611908
