Step,Response,seconds
1,3,0.743452787399292
3,1,2.2558798789978027
5,4,5.724583864212036
7,2,9.210668802261353
8,1,19.802385807037354
8,4,20.042937755584717
8,2,20.335701942443848
8,3,20.557031869888306
8,1,20.742989778518677
8,"['1', '4', '2', '3', '1']",20.743258714675903
11,2,42.52167081832886
13,1,49.06132674217224
13,2,49.06794285774231
15,4,50.85464668273926
17,3,53.03509783744812
18,4,63.92939782142639
18,3,64.21354866027832
18,2,64.42421460151672
18,1,64.61614489555359
18,4,64.78405666351318
18,"['4', '3', '2', '1', '4']",64.7843246459961
21,1,86.52889394760132
23,2,88.12210774421692
25,4,93.70221471786499
27,3,96.27762198448181
28,1,106.77783679962158
28,4,107.05508971214294
28,2,107.56507873535156
28,3,107.78564190864563
28,1,108.004647731781
28,"['1', '4', '2', '3', '1']",108.0049147605896
31,4,129.86203575134277
33,1,136.24405574798584
35,3,141.77618789672852
37,2,144.3771529197693
38,4,155.2434046268463
38,3,155.5028817653656
38,2,155.76803874969482
38,1,155.96665596961975
38,4,156.19249367713928
38,"['4', '3', '2', '1', '4']",156.1927375793457
41,3,178.0404667854309
43,2,179.49467277526855
45,1,184.20957469940186
47,4,185.64228677749634
48,4,196.11824369430542
48,2,196.38530778884888
48,2,198.56357669830322
48,1,198.8183867931366
48,4,199.16039395332336
48,"['4', '2', '2', '1', '4']",199.16064476966858
51,2,220.92412281036377
53,1,226.41219782829285
55,3,229.96662664413452
57,4,232.67005491256714
58,1,243.10916376113892
58,4,243.3482208251953
58,2,243.58307671546936
58,3,243.82512378692627
58,1,244.03013682365417
58,"['1', '4', '2', '3', '1']",244.0303988456726
61,1,265.90803575515747
63,4,268.2985157966614
65,3,269.7787687778473
67,2,271.4454116821289
67,2,273.53153371810913
68,4,282.54176688194275
68,3,282.7980947494507
68,2,283.0572497844696
68,1,283.2847476005554
68,4,283.4788029193878
68,"['4', '3', '2', '1', '4']",283.4790725708008
71,2,305.3302688598633
73,4,308.7687156200409
75,3,310.28847575187683
77,1,313.78975772857666
78,1,324.9794178009033
78,4,325.2383198738098
78,2,325.4318377971649
78,3,325.6983187198639
78,1,325.9227635860443
78,"['1', '4', '2', '3', '1']",325.9230377674103
81,2,347.68114256858826
83,3,350.1135947704315
85,1,354.7209937572479
87,4,356.228878736496
88,4,367.0014567375183
88,3,367.1913149356842
88,2,367.50288581848145
88,1,367.7373378276825
88,4,367.9473397731781
88,"['4', '3', '2', '1', '4']",367.9475917816162
91,2,389.90917682647705
93,3,393.2105498313904
95,4,395.31487488746643
98,1,409.16651487350464
98,4,409.3264708518982
98,2,409.5135998725891
98,3,409.71161699295044
98,1,409.8735077381134
98,"['1', '4', '2', '3', '1']",409.87376379966736
101,4,431.7489767074585
103,3,439.2350778579712
105,1,440.880943775177
107,2,442.22297072410583
107,2,447.683278799057
108,1,452.7977457046509
108,4,453.0208508968353
108,2,453.20376086235046
108,3,453.3675148487091
108,1,453.561726808548
108,"['1', '4', '2', '3', '1']",453.5619797706604
111,1,475.344322681427
113,3,479.8237450122833
115,4,482.2428867816925
117,2,490.92949771881104
118,4,501.9195818901062
118,3,502.2646498680115
118,2,502.4692349433899
118,1,502.6742527484894
118,4,502.91207575798035
118,"['4', '3', '2', '1', '4']",502.9123408794403
119,2,523.0676846504211
