Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,524.2501859664917
119,single text,6 trial Ready,0.0,528.2808079719543
0,single text,3,0.5,0.014299869537353516
1,ISI,+,1,0.5263669490814209
2,single text,4,0.5,1.547008991241455
3,ISI,+,3,2.0765457153320312
4,single text,2,0.5,5.096848964691162
5,ISI,+,2,5.6264870166778564
6,single text,1,0.5,7.64618706703186
7,Bundle Interval,...,10,8.159763813018799
8,seq texts,"['1', '4', '2', '3', '1']",15,18.19909405708313
9,ISI,+,21,19.445669889450073
10,single text,1,0.5,40.478978872299194
11,ISI,+,2,40.995277881622314
12,single text,4,0.5,43.031067848205566
13,ISI,+,1,43.54253172874451
14,single text,3,0.5,44.559308767318726
15,ISI,+,1,45.07985472679138
16,single text,2,0.5,46.1093487739563
17,Bundle Interval,...,10,46.626078844070435
18,seq texts,"['4', '3', '2', '1', '4']",15,56.66293787956238
19,ISI,+,21,58.545103788375854
20,single text,1,0.5,79.58190679550171
21,ISI,+,1,80.11132383346558
22,single text,2,0.5,81.14195680618286
23,ISI,+,5,81.66253066062927
24,single text,4,0.5,86.6786539554596
25,ISI,+,2,87.19385600090027
26,single text,3,0.5,89.21220874786377
27,Bundle Interval,...,10,89.7259750366211
28,seq texts,"['1', '4', '2', '3', '1']",15,99.76434469223022
29,ISI,+,21,101.34790396690369
30,single text,1,0.5,122.38130307197571
31,ISI,+,3,122.91069793701172
32,single text,3,0.5,125.92797088623047
33,ISI,+,8,126.4404969215393
34,single text,2,0.5,134.4623429775238
35,ISI,+,5,134.9752550125122
36,single text,4,0.5,139.99486374855042
37,Bundle Interval,...,10,140.50736379623413
38,seq texts,"['4', '3', '2', '1', '4']",15,150.54667496681213
39,ISI,+,21,152.02677202224731
40,single text,3,0.5,173.06305694580078
41,ISI,+,1,173.59305882453918
42,single text,1,0.5,174.62373089790344
43,ISI,+,3,175.1439139842987
44,single text,4,0.5,178.1767807006836
45,ISI,+,3,178.6900990009308
46,single text,2,0.5,181.7102427482605
47,Bundle Interval,...,10,182.2233428955078
48,seq texts,"['4', '3', '2', '1', '4']",15,192.26250791549683
49,ISI,+,21,193.827241897583
50,single text,2,0.5,214.86242485046387
51,ISI,+,2,215.3923180103302
52,single text,3,0.5,217.40975284576416
53,ISI,+,4,217.92323780059814
54,single text,1,0.5,221.94287276268005
55,ISI,+,1,222.45628595352173
56,single text,4,0.5,223.47288870811462
57,Bundle Interval,...,10,223.99282383918762
58,seq texts,"['1', '4', '2', '3', '1']",15,234.02656888961792
59,ISI,+,21,235.2921018600464
60,single text,4,0.5,256.3280749320984
61,ISI,+,7,256.858393907547
62,single text,3,0.5,263.89505791664124
63,ISI,+,1,264.4066798686981
64,single text,1,0.5,265.4218759536743
65,ISI,+,1,265.94269585609436
66,single text,2,0.5,266.95527601242065
67,Bundle Interval,...,10,267.4751818180084
68,seq texts,"['4', '3', '2', '1', '4']",15,277.5122706890106
69,ISI,+,21,278.8912320137024
70,single text,3,0.5,299.91034293174744
71,ISI,+,1,300.42228984832764
72,single text,2,0.5,301.43789887428284
73,ISI,+,4,301.95845890045166
74,single text,1,0.5,305.9911198616028
75,ISI,+,1,306.504549741745
76,single text,4,0.5,307.521452665329
77,Bundle Interval,...,10,308.04279589653015
78,seq texts,"['1', '4', '2', '3', '1']",15,318.0792808532715
79,ISI,+,21,319.30713295936584
80,single text,2,0.5,340.3435719013214
81,ISI,+,5,340.87355494499207
82,single text,1,0.5,345.89172196388245
83,ISI,+,3,346.4062080383301
84,single text,3,0.5,349.4215397834778
85,ISI,+,2,349.941104888916
86,single text,4,0.5,351.9738419055939
87,Bundle Interval,...,10,352.48703694343567
88,seq texts,"['4', '3', '2', '1', '4']",15,362.527391910553
89,ISI,+,21,363.8884279727936
90,single text,2,0.5,384.9084198474884
91,ISI,+,6,385.4395477771759
92,single text,1,0.5,391.45746302604675
93,ISI,+,1,391.97029089927673
94,single text,4,0.5,392.9864447116852
95,ISI,+,2,393.5065348148346
96,single text,3,0.5,395.54045391082764
97,Bundle Interval,...,10,396.0699038505554
98,seq texts,"['1', '4', '2', '3', '1']",15,406.11049485206604
99,ISI,+,21,407.2391560077667
100,single text,1,0.5,428.2760157585144
101,ISI,+,2,428.8057918548584
102,single text,4,0.5,430.8399078845978
103,ISI,+,5,431.35275983810425
104,single text,2,0.5,436.3740999698639
105,ISI,+,6,436.8864209651947
106,single text,3,0.5,442.92612195014954
107,Bundle Interval,...,10,443.4552137851715
108,seq texts,"['1', '4', '2', '3', '1']",15,453.4916868209839
109,ISI,+,21,454.8050289154053
110,single text,4,0.5,475.84030175209045
111,ISI,+,6,476.3713889122009
112,single text,1,0.5,482.3861598968506
113,ISI,+,5,482.9039397239685
114,single text,3,0.5,487.9239077568054
115,ISI,+,2,488.43592596054077
116,single text,2,0.5,490.45153999328613
117,Bundle Interval,...,10,490.96864676475525
118,seq texts,"['4', '3', '2', '1', '4']",15,501.0047438144684
119,ISI,+,21,502.23620676994324
-1,End,End,0,523.2370367050171
