Step,Response,seconds
1,1,0.6852610111236572
3,4,2.271368980407715
5,2,5.723538875579834
7,3,9.18057894706726
8,4,19.89974594116211
8,3,20.10123109817505
8,2,20.398738861083984
8,1,20.628180980682373
8,4,20.84307098388672
8,"['4', '3', '2', '1', '4']",20.84334897994995
11,1,42.66706204414368
13,3,49.1450560092926
15,4,50.69352102279663
17,2,53.100996017456055
18,1,63.74159622192383
18,4,63.84671211242676
18,2,64.05563688278198
18,3,64.23334908485413
18,1,64.41753101348877
18,"['1', '4', '2', '3', '1']",64.41780710220337
21,1,86.25049591064453
23,2,87.85104608535767
25,4,93.1172149181366
26,3,95.53070783615112
28,1,106.41271495819092
28,4,106.56878399848938
28,2,106.76069402694702
28,3,106.97382593154907
28,1,107.22618317604065
28,"['1', '4', '2', '3', '1']",107.22645592689514
31,2,128.9163498878479
33,1,135.48368883132935
35,3,141.08324813842773
37,4,143.58026313781738
38,4,154.01610898971558
38,3,154.15281414985657
38,2,154.3328230381012
38,1,154.48076581954956
38,4,154.57686018943787
38,"['4', '3', '2', '1', '4']",154.5771119594574
41,1,176.2833490371704
43,2,177.73057198524475
44,3,182.1777319908142
47,4,183.8049600124359
48,3,193.86075115203857
48,1,194.89744400978088
48,4,195.11085414886475
48,2,195.29697704315186
48,3,195.45995998382568
48,"['3', '1', '4', '2', '3']",195.46023178100586
49,1,195.61970496177673
51,2,217.15668082237244
53,4,222.7272560596466
54,3,226.02542400360107
57,1,228.6427140235901
58,4,239.2483229637146
58,3,239.40561819076538
58,2,239.83202004432678
58,1,240.02739095687866
58,4,240.22441482543945
58,"['4', '3', '2', '1', '4']",240.22468495368958
61,1,262.11117601394653
63,3,264.45357298851013
65,2,266.1296408176422
67,4,267.5575850009918
68,4,278.10979199409485
68,3,278.33032608032227
68,2,278.59950399398804
68,1,278.7830240726471
68,4,279.0445899963379
68,"['4', '3', '2', '1', '4']",279.04486179351807
71,3,301.03862595558167
73,1,304.4515540599823
75,4,305.94967222213745
77,2,309.29780101776123
78,1,320.28375697135925
78,4,320.4605538845062
78,2,320.6486599445343
78,3,320.86269307136536
78,1,321.0485460758209
78,"['1', '4', '2', '3', '1']",321.0488109588623
81,4,342.9654459953308
83,2,345.2685401439667
85,3,349.79480385780334
87,1,351.40216398239136
88,4,362.0240681171417
88,3,362.2090599536896
88,2,362.41501212120056
88,1,362.629949092865
88,4,362.8139839172363
88,"['4', '3', '2', '1', '4']",362.8142499923706
91,3,384.64497089385986
91,3,386.8975520133972
93,1,388.2277932167053
95,2,389.5583128929138
97,4,392.1383259296417
98,1,402.81523609161377
98,4,402.94793796539307
98,2,403.1420409679413
98,3,403.34615206718445
98,1,403.56740713119507
98,"['1', '4', '2', '3', '1']",403.5678870677948
101,3,425.4859890937805
103,2,432.70435905456543
105,1,434.543270111084
107,4,436.036052942276
107,3,436.05886793136597
108,1,446.4053039550781
108,4,446.5734839439392
108,2,446.6943290233612
108,3,446.90244698524475
108,1,447.0383291244507
108,"['1', '4', '2', '3', '1']",447.0385971069336
111,4,468.76369309425354
113,3,473.22769808769226
115,2,475.7290229797363
117,1,484.2997269630432
118,4,494.941691160202
118,3,495.09856605529785
118,2,495.2607510089874
118,1,495.420804977417
118,4,495.4886791706085
118,"['4', '3', '2', '1', '4']",495.48894691467285
