Step,Response,seconds
1,4,0.7159321308135986
3,3,8.54149603843689
5,1,9.785120964050293
7,2,11.22454309463501
8,1,21.773186922073364
8,4,21.938640117645264
8,2,22.11768412590027
8,3,22.258466005325317
8,1,22.409906148910522
8,"['1', '4', '2', '3', '1']",22.410192012786865
13,3,48.74526405334473
15,4,51.13753914833069
17,2,59.732075929641724
18,4,70.38554692268372
18,3,70.57426810264587
18,2,70.7392930984497
18,1,70.8831729888916
18,4,71.03493022918701
18,"['4', '3', '2', '1', '4']",71.03519988059998
23,1,94.15443301200867
25,4,97.79886317253113
27,2,101.6252510547638
28,4,112.01052784919739
28,3,112.18962597846985
28,2,112.45406723022461
28,1,112.62160110473633
28,4,112.75344610214233
28,"['4', '3', '2', '1', '4']",112.75369691848755
31,1,134.64733719825745
33,3,138.56887698173523
33,2,145.26306009292603
35,2,146.49078106880188
37,4,152.11607909202576
38,1,162.55249094963074
38,4,162.78744220733643
38,2,162.98689198493958
38,3,163.233567237854
38,1,163.39069604873657
38,"['1', '4', '2', '3', '1']",163.39096212387085
41,3,185.26661491394043
43,2,186.57302117347717
45,1,191.47606325149536
47,4,192.82993602752686
48,1,203.52795910835266
48,4,203.71190905570984
48,2,203.89374613761902
48,3,204.10170102119446
48,1,204.25671124458313
48,"['1', '4', '2', '3', '1']",204.2569751739502
49,2,207.48159313201904
51,2,226.19717025756836
53,1,232.630921125412
55,4,234.50400805473328
57,3,236.54526710510254
58,4,247.60376000404358
58,3,247.76871490478516
58,2,247.88478994369507
58,1,248.08675026893616
58,4,248.23455810546875
58,"['4', '3', '2', '1', '4']",248.23482012748718
61,4,270.0587430000305
63,2,272.44998812675476
65,1,278.9913671016693
67,3,280.6320459842682
68,4,291.4820981025696
68,3,291.7000811100006
68,2,291.80793809890747
68,1,292.145268201828
68,4,292.3127951622009
68,"['4', '3', '2', '1', '4']",292.31305599212646
71,4,314.3872711658478
73,2,316.5027492046356
75,3,318.1413769721985
77,1,321.8701660633087
78,1,332.28464913368225
78,4,332.4245722293854
78,2,332.64344811439514
78,3,332.8492510318756
78,1,333.0383651256561
78,"['1', '4', '2', '3', '1']",333.03864312171936
81,3,354.9732451438904
83,4,356.50536489486694
85,1,357.96639609336853
87,2,359.3434331417084
88,4,370.18458890914917
88,2,370.4882769584656
88,3,370.58038806915283
88,1,371.2681031227112
88,4,371.4556450843811
88,"['4', '2', '3', '1', '4']",371.45592498779297
91,4,393.33832120895386
93,3,397.67929220199585
95,2,399.31354808807373
97,1,400.8418779373169
98,1,411.4836061000824
98,4,411.61125230789185
98,2,411.8273639678955
98,3,412.0713551044464
98,1,412.22624707221985
98,"['1', '4', '2', '3', '1']",412.2265200614929
101,1,434.2406520843506
103,4,436.5165560245514
105,3,438.1071960926056
107,2,439.60801815986633
108,4,450.77148509025574
108,3,451.00326919555664
108,2,451.11831498146057
108,1,451.3091371059418
108,4,451.4842879772186
108,"['4', '3', '2', '1', '4']",451.4845700263977
111,3,473.8674421310425
113,4,474.8203980922699
115,2,478.52649426460266
117,1,481.2094519138336
118,1,492.1497802734375
118,4,492.2951102256775
118,2,492.46717524528503
118,3,492.6153690814972
118,1,492.73422718048096
118,"['1', '4', '2', '3', '1']",492.73450803756714
