Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,523.2578477859497
119,single text,7 trial Ready,0.0,529.2538487911224
0,single text,4,0.5,0.026074886322021484
1,ISI,+,2,0.5541379451751709
2,single text,2,0.5,2.5710079669952393
3,ISI,+,6,3.0877859592437744
4,single text,1,0.5,9.108767986297607
5,ISI,+,1,9.621370792388916
6,single text,3,0.5,10.637527704238892
7,Bundle Interval,...,10,11.157595872879028
8,seq texts,"['4', '3', '2', '1', '4']",15,21.193324089050293
9,ISI,+,21,22.24032473564148
10,single text,4,0.5,43.27626585960388
11,ISI,+,2,43.80618977546692
12,single text,2,0.5,45.84038186073303
13,ISI,+,1,46.3531699180603
14,single text,3,0.5,47.37035584449768
15,ISI,+,3,47.88655376434326
16,single text,1,0.5,50.90667390823364
17,Bundle Interval,...,10,51.41990780830383
18,seq texts,"['4', '3', '2', '1', '4']",15,61.43840193748474
19,ISI,+,21,62.739301919937134
20,single text,3,0.5,83.7751407623291
21,ISI,+,4,84.30556797981262
22,single text,2,0.5,88.32311606407166
23,ISI,+,1,88.83603405952454
24,single text,4,0.5,89.85254883766174
25,ISI,+,4,90.37296986579895
26,single text,1,0.5,94.3895800113678
27,Bundle Interval,...,10,94.91996693611145
28,seq texts,"['1', '4', '2', '3', '1']",15,104.95821690559387
29,ISI,+,21,106.40662503242493
30,single text,1,0.5,127.44155192375183
31,ISI,+,4,127.9714949131012
32,single text,3,0.5,132.00574588775635
33,ISI,+,2,132.51863980293274
34,single text,4,0.5,134.53916382789612
35,ISI,+,8,135.05179071426392
36,single text,2,0.5,143.07380294799805
37,Bundle Interval,...,10,143.60446691513062
38,seq texts,"['4', '3', '2', '1', '4']",15,153.64127588272095
39,ISI,+,21,154.90417385101318
40,single text,1,0.5,175.94066882133484
41,ISI,+,1,176.45235896110535
42,single text,2,0.5,177.4687638282776
43,ISI,+,7,177.9877188205719
44,single text,3,0.5,185.02301692962646
45,ISI,+,5,185.55418801307678
46,single text,4,0.5,190.57192397117615
47,Bundle Interval,...,10,191.08497381210327
48,seq texts,"['1', '4', '2', '3', '1']",15,201.12430787086487
49,ISI,+,21,202.77136373519897
50,single text,2,0.5,223.80640697479248
51,ISI,+,3,224.33653092384338
52,single text,4,0.5,227.3537609577179
53,ISI,+,1,227.8670289516449
54,single text,3,0.5,228.88378882408142
55,ISI,+,3,229.40317583084106
56,single text,1,0.5,232.43697381019592
57,Bundle Interval,...,10,232.96805882453918
58,seq texts,"['4', '3', '2', '1', '4']",15,242.9847481250763
59,ISI,+,21,245.7189497947693
60,single text,3,0.5,266.7557909488678
61,ISI,+,2,267.26740193367004
62,single text,1,0.5,269.2866430282593
63,ISI,+,2,269.81636691093445
64,single text,2,0.5,271.83617901802063
65,ISI,+,1,272.34930086135864
66,single text,4,0.5,273.36635088920593
67,Bundle Interval,...,10,273.8860158920288
68,seq texts,"['4', '3', '2', '1', '4']",15,283.92142701148987
69,ISI,+,21,285.28703904151917
70,single text,3,0.5,306.3214819431305
71,ISI,+,1,306.85174894332886
72,single text,4,0.5,307.86572074890137
73,ISI,+,1,308.3859598636627
74,single text,1,0.5,309.4157929420471
75,ISI,+,1,309.9353940486908
76,single text,2,0.5,310.96572279930115
77,Bundle Interval,...,10,311.48547291755676
78,seq texts,"['1', '4', '2', '3', '1']",15,321.52111172676086
79,ISI,+,21,322.683730840683
80,single text,4,0.5,343.72156500816345
81,ISI,+,4,344.25107884407043
82,single text,3,0.5,348.2686548233032
83,ISI,+,1,348.7983486652374
84,single text,2,0.5,349.8150908946991
85,ISI,+,1,350.3347198963165
86,single text,1,0.5,351.3660318851471
87,Bundle Interval,...,10,351.8816797733307
88,seq texts,"['1', '4', '2', '3', '1']",15,361.91805386543274
89,ISI,+,21,363.0675699710846
90,single text,4,0.5,384.08606600761414
91,ISI,+,4,384.6171541213989
92,single text,1,0.5,388.63481187820435
93,ISI,+,3,389.14751386642456
94,single text,2,0.5,392.1690559387207
95,ISI,+,2,392.697438955307
96,single text,3,0.5,394.7175691127777
97,Bundle Interval,...,10,395.23090982437134
98,seq texts,"['4', '3', '2', '1', '4']",15,405.27210688591003
99,ISI,+,21,406.76526284217834
100,single text,2,0.5,427.7851839065552
101,ISI,+,3,428.29972791671753
102,single text,3,0.5,431.31701493263245
103,ISI,+,1,431.83040380477905
104,single text,4,0.5,432.8469440937042
105,ISI,+,2,433.36688780784607
106,single text,1,0.5,435.38302278518677
107,Bundle Interval,...,10,435.91355085372925
108,seq texts,"['1', '4', '2', '3', '1']",15,445.9521129131317
109,ISI,+,21,447.064395904541
110,single text,2,0.5,468.10254192352295
111,ISI,+,4,468.6325168609619
112,single text,4,0.5,472.66682505607605
113,ISI,+,1,473.1796700954437
114,single text,1,0.5,474.1960699558258
115,ISI,+,4,474.71626591682434
116,single text,3,0.5,478.7305829524994
117,Bundle Interval,...,10,479.2461898326874
118,seq texts,"['1', '4', '2', '3', '1']",15,489.28520607948303
119,ISI,+,21,490.5989408493042
-1,End,End,0,511.6011290550232
119,single text,,20,511.61690974235535
