Step,Response,seconds
1,4,0.8338041305541992
3,1,3.2358341217041016
5,3,5.678642988204956
7,2,7.263520002365112
8,1,17.77326512336731
8,4,17.88901400566101
8,2,18.22641611099243
8,3,18.366233110427856
8,1,18.522958278656006
8,"['1', '4', '2', '3', '1']",18.523223161697388
11,2,40.159486055374146
13,3,42.657992124557495
15,4,44.26342034339905
17,1,47.85244607925415
18,4,58.53055000305176
18,3,58.63441514968872
18,2,58.72645926475525
18,1,58.90716814994812
18,4,59.00322937965393
18,"['4', '3', '2', '1', '4']",59.00350522994995
21,2,80.85999321937561
23,4,85.38346600532532
25,1,86.83922624588013
27,3,91.30814218521118
27,3,94.9067132472992
28,4,102.0009663105011
28,2,102.17436218261719
28,3,102.37236618995667
28,1,102.56120610237122
28,4,103.09983205795288
28,"['4', '2', '3', '1', '4']",103.10009598731995
31,4,124.75889825820923
33,3,128.3861801624298
35,1,137.05273413658142
37,2,142.67758321762085
38,1,153.04416799545288
38,4,153.26885199546814
38,2,153.4238681793213
38,3,153.60276412963867
38,1,153.77766108512878
38,"['1', '4', '2', '3', '1']",153.77793717384338
41,3,175.58942914009094
43,4,180.34023118019104
45,1,183.64695405960083
47,2,186.1083562374115
47,3,188.84010314941406
48,1,196.7450921535492
48,4,196.8647632598877
48,2,197.02394819259644
48,3,197.18979215621948
48,1,197.40404725074768
48,"['1', '4', '2', '3', '1']",197.40429425239563
51,3,219.39472317695618
53,4,221.6221833229065
55,2,228.2210292816162
57,1,229.93164610862732
58,4,240.3408281803131
58,3,240.5634560585022
58,2,240.7978160381317
58,1,240.97430300712585
58,4,241.0545370578766
58,"['4', '3', '2', '1', '4']",241.05479407310486
61,3,262.8968801498413
63,2,264.27147221565247
65,4,272.0986511707306
67,1,277.4870731830597
68,1,288.1282801628113
68,4,288.25848507881165
68,2,288.3861560821533
68,3,288.5262200832367
68,1,288.65433502197266
68,"['1', '4', '2', '3', '1']",288.6546082496643
69,3,291.66789722442627
71,2,310.4176273345947
73,3,314.8252890110016
75,1,316.42997097969055
77,4,320.9496240615845
78,1,331.88031005859375
78,4,332.05396723747253
78,2,332.19810938835144
78,3,332.3020031452179
78,1,332.44992423057556
78,"['1', '4', '2', '3', '1']",332.45017409324646
79,3,338.3273000717163
81,2,354.23763608932495
83,1,356.7189722061157
85,4,362.41182804107666
87,3,368.71372509002686
87,3,370.450355052948
88,4,379.29263734817505
88,3,379.54593110084534
88,2,379.73258328437805
88,1,379.91945338249207
88,4,380.02015805244446
88,"['4', '3', '2', '1', '4']",380.0204269886017
89,3,398.40090703964233
91,4,401.8968870639801
93,2,406.371511220932
95,1,407.8234932422638
96,3,409.13948607444763
97,3,415.18298506736755
98,1,419.8575482368469
98,4,419.98661398887634
98,2,420.10275626182556
98,3,420.2775971889496
98,1,420.41741013526917
98,"['1', '4', '2', '3', '1']",420.4176812171936
104,1,444.583309173584
104,4,444.81564593315125
105,3,445.20135712623596
107,2,446.69392013549805
