Step,Response,seconds
3,1,4.206438302993774
5,3,6.07818603515625
7,2,7.413077116012573
8,1,18.661096334457397
8,4,19.108941078186035
8,2,19.709875106811523
8,3,20.161808252334595
8,1,20.610718965530396
8,"['1', '4', '2', '3', '1']",20.61099123954773
11,3,42.47969722747803
13,2,44.10912108421326
15,4,47.71328115463257
17,1,50.40831017494202
18,4,60.92755317687988
18,3,61.30668115615845
18,2,61.75238394737244
18,1,62.20230197906494
18,4,62.621318101882935
18,"['4', '3', '2', '1', '4']",62.62158513069153
21,4,84.52488803863525
23,2,91.36031913757324
25,1,96.83754324913025
27,3,99.18053030967712
28,1,110.02924013137817
28,4,110.46784615516663
28,2,111.72331428527832
28,3,112.18191003799438
28,1,112.63397717475891
28,"['1', '4', '2', '3', '1']",112.63424015045166
31,4,134.6885950565338
33,3,137.8719379901886
35,1,139.7545201778412
37,2,141.986741065979
38,4,153.03563809394836
38,3,153.5933392047882
38,2,154.22532510757446
38,1,154.70380210876465
38,4,155.17415404319763
38,"['4', '3', '2', '1', '4']",155.17442107200623
41,2,177.15176510810852
43,4,178.60140323638916
45,1,184.24433994293213
47,3,186.36987495422363
48,4,197.4203221797943
48,3,197.81177496910095
48,2,198.2526421546936
48,1,198.8583002090454
48,4,199.39594507217407
48,"['4', '3', '2', '1', '4']",199.39620923995972
51,1,221.77670907974243
53,2,228.9325361251831
55,3,230.48019003868103
57,4,231.74755001068115
58,1,242.85365915298462
58,4,243.31352305412292
58,2,244.58408617973328
58,3,245.14011120796204
58,1,245.87710523605347
58,"['1', '4', '2', '3', '1']",245.87739324569702
61,4,268.21450209617615
66,2,271.53512501716614
67,3,272.558265209198
68,4,283.53429198265076
68,3,283.91975927352905
68,2,284.50257301330566
68,1,285.1144881248474
68,4,285.65455412864685
68,"['4', '3', '2', '1', '4']",285.65481901168823
71,2,307.7261390686035
73,3,309.89357328414917
76,1,315.5168089866638
77,4,316.0338749885559
78,1,327.1206991672516
78,4,327.7333061695099
78,2,328.3252999782562
78,3,328.9392671585083
78,1,329.4212200641632
78,"['1', '4', '2', '3', '1']",329.4214882850647
81,3,351.7527542114258
83,2,355.03363609313965
85,1,357.1392171382904
87,4,359.9983239173889
88,1,371.11878204345703
88,4,371.7070379257202
88,2,372.3990252017975
88,3,373.0181770324707
88,1,373.7063081264496
88,"['1', '4', '2', '3', '1']",373.70663809776306
91,1,396.04784893989563
93,4,400.38166189193726
95,3,403.85508704185486
97,2,406.99479699134827
98,4,417.09338116645813
98,3,417.54498505592346
98,2,418.01339507102966
98,1,418.73421692848206
98,4,419.2543501853943
98,"['4', '3', '2', '1', '4']",419.2546203136444
101,3,441.2301182746887
105,2,453.393767118454
107,4,459.1484341621399
108,4,469.6215350627899
108,3,470.0150351524353
108,2,470.60732412338257
108,1,471.14613819122314
108,4,472.0340111255646
108,"['4', '3', '2', '1', '4']",472.0342891216278
111,3,494.1108841896057
113,4,499.57761812210083
115,2,503.2795178890228
117,1,505.6548180580139
118,1,516.4442071914673
118,4,516.9746429920197
118,2,517.5845849514008
118,3,518.1596820354462
118,1,518.8278300762177
118,"['1', '4', '2', '3', '1']",518.8282611370087
