Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,548.632218837738
119,single text,7 trial Ready,0.0,555.0637257099152
0,single text,3,0.5,0.014848947525024414
1,ISI,+,1,0.5331628322601318
2,single text,1,0.5,1.5628769397735596
3,ISI,+,4,2.0791287422180176
4,single text,4,0.5,6.100035667419434
5,ISI,+,1,6.629395961761475
6,single text,2,0.5,7.6458117961883545
7,Bundle Interval,...,10,8.162773847579956
8,seq texts,"['4', '3', '2', '1', '4']",15,18.19973874092102
9,ISI,+,21,21.248347759246826
10,single text,1,0.5,42.28355288505554
11,ISI,+,4,42.81453895568848
12,single text,3,0.5,46.8284957408905
13,ISI,+,1,47.345319747924805
14,single text,2,0.5,48.36178183555603
15,ISI,+,4,48.87867784500122
16,single text,4,0.5,52.899919748306274
17,Bundle Interval,...,10,53.42845177650452
18,seq texts,"['1', '4', '2', '3', '1']",15,63.46522283554077
19,ISI,+,21,67.21297979354858
20,single text,2,0.5,88.2499988079071
21,ISI,+,2,88.76165080070496
22,single text,3,0.5,90.78092885017395
23,ISI,+,4,91.29465579986572
24,single text,1,0.5,95.31442093849182
25,ISI,+,1,95.82765173912048
26,single text,4,0.5,96.84435892105103
27,Bundle Interval,...,10,97.36118483543396
28,seq texts,"['4', '3', '2', '1', '4']",15,107.39933180809021
29,ISI,+,21,110.12879991531372
30,single text,3,0.5,131.1641137599945
31,ISI,+,3,131.6963188648224
32,single text,1,0.5,134.7131187915802
33,ISI,+,8,135.22718572616577
34,single text,2,0.5,143.24489283561707
35,ISI,+,5,143.76399993896484
36,single text,4,0.5,148.7966227531433
37,Bundle Interval,...,10,149.3290319442749
38,seq texts,"['4', '3', '2', '1', '4']",15,159.36508798599243
39,ISI,+,21,162.88055396080017
40,single text,3,0.5,183.91296362876892
41,ISI,+,2,184.42947459220886
42,single text,4,0.5,186.4465069770813
43,ISI,+,1,186.95953273773193
44,single text,1,0.5,187.9762008190155
45,ISI,+,1,188.49296379089355
46,single text,2,0.5,189.5104467868805
47,Bundle Interval,...,10,190.02621984481812
48,seq texts,"['1', '4', '2', '3', '1']",15,200.0457489490509
49,ISI,+,21,203.99515175819397
50,single text,2,0.5,225.03040885925293
51,ISI,+,1,225.56133580207825
52,single text,1,0.5,226.5751838684082
53,ISI,+,3,227.09590673446655
54,single text,4,0.5,230.12835788726807
55,ISI,+,3,230.64231085777283
56,single text,3,0.5,233.65868592262268
57,Bundle Interval,...,10,234.17537474632263
58,seq texts,"['1', '4', '2', '3', '1']",15,244.1930377483368
59,ISI,+,21,249.56075072288513
60,single text,2,0.5,270.5760519504547
61,ISI,+,6,271.0956268310547
62,single text,1,0.5,277.12897181510925
63,ISI,+,1,277.66071581840515
64,single text,3,0.5,278.6749918460846
65,ISI,+,2,279.1913149356842
66,single text,4,0.5,281.21156573295593
67,Bundle Interval,...,10,281.72463369369507
68,seq texts,"['4', '3', '2', '1', '4']",15,291.76336193084717
69,ISI,+,21,295.24215865135193
70,single text,1,0.5,316.27857089042664
71,ISI,+,7,316.7912828922272
72,single text,2,0.5,323.8109266757965
73,ISI,+,1,324.3243236541748
74,single text,3,0.5,325.3398416042328
75,ISI,+,1,325.85713481903076
76,single text,4,0.5,326.8742866516113
77,Bundle Interval,...,10,327.39347982406616
78,seq texts,"['1', '4', '2', '3', '1']",15,337.42847084999084
79,ISI,+,21,341.2935616970062
80,single text,2,0.5,362.3078227043152
81,ISI,+,1,362.8270788192749
82,single text,4,0.5,363.85650873184204
83,ISI,+,5,364.37323474884033
84,single text,1,0.5,369.3907027244568
85,ISI,+,2,369.90677785873413
86,single text,3,0.5,371.9230377674103
87,Bundle Interval,...,10,372.44331979751587
88,seq texts,"['4', '3', '2', '1', '4']",15,382.4775948524475
89,ISI,+,21,385.6418716907501
90,single text,4,0.5,406.6778497695923
91,ISI,+,2,407.189998626709
92,single text,3,0.5,409.2087368965149
93,ISI,+,1,409.7222058773041
94,single text,2,0.5,410.7394459247589
95,ISI,+,3,411.2585377693176
96,single text,1,0.5,414.2751066684723
97,Bundle Interval,...,10,414.7888708114624
98,seq texts,"['1', '4', '2', '3', '1']",15,424.80702781677246
99,ISI,+,21,429.0596537590027
100,single text,1,0.5,450.09320878982544
101,ISI,+,2,450.62404680252075
102,single text,4,0.5,452.6385807991028
103,ISI,+,6,453.1578869819641
104,single text,2,0.5,459.17502880096436
105,ISI,+,1,459.6909718513489
106,single text,3,0.5,460.72154784202576
107,Bundle Interval,...,10,461.2416887283325
108,seq texts,"['4', '3', '2', '1', '4']",15,471.2757887840271
109,ISI,+,21,476.77344369888306
110,single text,3,0.5,497.80732679367065
111,ISI,+,3,498.32460594177246
112,single text,2,0.5,501.34026074409485
113,ISI,+,1,501.85440278053284
114,single text,1,0.5,502.8707058429718
115,ISI,+,3,503.387375831604
116,single text,4,0.5,506.40704584121704
117,Bundle Interval,...,10,506.92103385925293
118,seq texts,"['1', '4', '2', '3', '1']",15,516.9592308998108
119,ISI,+,21,521.1382918357849
-1,End,End,0,542.143914937973
119,single text,,20,542.1550257205963
