Step,Response,seconds
1,3,1.7101261615753174
3,1,4.783941268920898
5,2,13.419151306152344
7,4,18.649359226226807
8,1,29.77093505859375
8,4,30.257544994354248
8,2,31.151447057724
8,3,31.515404224395752
8,1,32.29420709609985
8,"['1', '4', '2', '3', '1']",32.29447412490845
11,2,54.332900285720825
15,4,61.83098816871643
17,1,70.55484127998352
18,1,80.89180397987366
18,4,81.43029403686523
18,2,82.31512308120728
18,3,82.69129824638367
18,1,83.67880702018738
18,"['1', '4', '2', '3', '1']",83.6791000366211
21,3,105.92861127853394
23,4,111.36274218559265
25,2,114.72061228752136
27,1,117.58388829231262
28,1,128.10805296897888
28,4,128.60924315452576
28,2,129.64914417266846
28,3,130.09588623046875
28,1,130.52570223808289
28,"['1', '4', '2', '3', '1']",130.52594900131226
31,3,152.4185290336609
33,2,155.90643405914307
35,1,158.59273028373718
37,4,161.22194528579712
37,3,170.2247290611267
38,4,172.0108790397644
38,3,172.46691417694092
38,2,173.45804810523987
38,1,174.2748579978943
38,4,174.70087027549744
38,"['4', '3', '2', '1', '4']",174.70113015174866
41,4,196.74899315834045
43,1,198.68881630897522
45,2,199.71747732162476
47,3,201.1143970489502
48,4,212.55835008621216
48,3,213.01316213607788
48,2,213.5021812915802
48,1,214.46508026123047
48,4,215.0959370136261
48,"['4', '3', '2', '1', '4']",215.0962109565735
51,4,237.10912895202637
53,1,240.10160326957703
55,3,242.05770802497864
57,2,243.68604803085327
58,4,254.86650013923645
58,3,255.38522291183472
58,2,255.8572642803192
58,1,256.5262641906738
58,4,257.07134795188904
58,"['4', '3', '2', '1', '4']",257.07160091400146
63,4,282.20799708366394
65,2,287.9017450809479
67,4,289.8678321838379
68,4,300.675341129303
68,3,301.2139232158661
68,2,301.7671821117401
68,1,302.4762661457062
68,4,303.02712202072144
68,"['4', '3', '2', '1', '4']",303.0273952484131
71,3,325.029666185379
73,1,326.7303922176361
75,4,331.4904251098633
77,2,332.8397960662842
78,1,344.85668110847473
78,4,345.73939204216003
78,2,347.0404272079468
78,3,347.46300315856934
78,1,348.1093680858612
78,"['1', '4', '2', '3', '1']",348.1096272468567
81,4,369.9084720611572
83,2,371.82379603385925
85,3,379.3719091415405
87,1,385.0049002170563
88,1,395.6947491168976
88,4,396.4954183101654
88,2,397.07827830314636
88,3,397.432480096817
88,1,398.076229095459
88,"['1', '4', '2', '3', '1']",398.07649421691895
91,2,420.4354910850525
93,1,426.90407514572144
95,3,428.278831243515
97,4,430.3732612133026
98,4,441.52432107925415
98,3,441.95258021354675
98,2,442.4136772155762
98,1,443.0469250679016
98,4,443.6127681732178
98,"['4', '3', '2', '1', '4']",443.6131031513214
101,4,465.64412808418274
103,3,469.04138922691345
105,1,471.0452890396118
107,2,473.44615507125854
108,1,484.164302110672
108,4,484.7844080924988
108,2,485.7819399833679
108,3,486.1956911087036
108,1,486.80655813217163
108,"['1', '4', '2', '3', '1']",486.80686211586
111,1,509.2046821117401
113,3,513.3332741260529
115,2,515.0062341690063
117,4,519.4571771621704
118,4,530.1099100112915
118,3,530.5466959476471
118,2,530.9656381607056
118,1,531.5471241474152
118,4,531.9953961372375
118,"['4', '3', '2', '1', '4']",531.9956591129303
