Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,548.0918509960175
119,single text,4 trial Ready,0.0,553.1243600845337
0,single text,1,0.5,0.01519918441772461
1,ISI,+,4,0.5282080173492432
2,single text,4,0.5,4.5453269481658936
3,ISI,+,3,5.061923027038574
4,single text,3,0.5,8.08149003982544
5,ISI,+,2,8.595000982284546
6,single text,2,0.5,10.61408805847168
7,Bundle Interval,...,10,11.12778615951538
8,seq texts,"['1', '4', '2', '3', '1']",15,21.166248083114624
9,ISI,+,21,24.930307865142822
10,single text,2,0.5,45.96611499786377
11,ISI,+,2,46.49649214744568
12,single text,3,0.5,48.51390194892883
13,ISI,+,4,49.0273540019989
14,single text,1,0.5,53.047041177749634
15,ISI,+,1,53.560571908950806
16,single text,4,0.5,54.57757306098938
17,Bundle Interval,...,10,55.094473123550415
18,seq texts,"['4', '3', '2', '1', '4']",15,65.13090896606445
19,ISI,+,21,68.68058109283447
20,single text,1,0.5,89.71495699882507
21,ISI,+,7,90.22756695747375
22,single text,2,0.5,97.24727606773376
23,ISI,+,1,97.76131319999695
24,single text,3,0.5,98.77672004699707
25,ISI,+,1,99.29298210144043
26,single text,4,0.5,100.30985307693481
27,Bundle Interval,...,10,100.82993006706238
28,seq texts,"['1', '4', '2', '3', '1']",15,110.86472606658936
29,ISI,+,21,114.57954287528992
30,single text,2,0.5,135.61434412002563
31,ISI,+,1,136.14520001411438
32,single text,4,0.5,137.1590600013733
33,ISI,+,5,137.67584609985352
34,single text,1,0.5,142.69629287719727
35,ISI,+,2,143.20955300331116
36,single text,3,0.5,145.22997999191284
37,Bundle Interval,...,10,145.75896692276
38,seq texts,"['4', '3', '2', '1', '4']",15,155.79737782478333
39,ISI,+,21,158.87789297103882
40,single text,2,0.5,179.8950390815735
41,ISI,+,1,180.40940403938293
42,single text,1,0.5,181.42487692832947
43,ISI,+,3,181.94166588783264
44,single text,4,0.5,184.95921111106873
45,ISI,+,3,185.47496795654297
46,single text,3,0.5,188.4945821762085
47,Bundle Interval,...,10,189.00827503204346
48,seq texts,"['4', '3', '2', '1', '4']",15,199.028804063797
49,ISI,+,21,202.62573719024658
50,single text,3,0.5,223.66478610038757
51,ISI,+,2,224.19340205192566
52,single text,4,0.5,226.21105813980103
53,ISI,+,1,226.72440195083618
54,single text,1,0.5,227.74105501174927
55,ISI,+,1,228.26065707206726
56,single text,2,0.5,229.29096102714539
57,Bundle Interval,...,10,229.8077311515808
58,seq texts,"['1', '4', '2', '3', '1']",15,239.84405994415283
59,ISI,+,21,243.35851407051086
60,single text,1,0.5,264.3750150203705
61,ISI,+,4,264.8947842121124
62,single text,2,0.5,268.9103021621704
63,ISI,+,1,269.42364978790283
64,single text,4,0.5,270.44021582603455
65,ISI,+,4,270.9566659927368
66,single text,3,0.5,274.9775059223175
67,Bundle Interval,...,10,275.4899411201477
68,seq texts,"['4', '3', '2', '1', '4']",15,285.5105040073395
69,ISI,+,21,288.85857009887695
70,single text,1,0.5,309.87433195114136
71,ISI,+,2,310.3919289112091
72,single text,3,0.5,312.4061541557312
73,ISI,+,5,312.9227638244629
74,single text,4,0.5,317.94362783432007
75,ISI,+,6,318.45666909217834
76,single text,2,0.5,324.47656893730164
77,Bundle Interval,...,10,324.9897949695587
78,seq texts,"['1', '4', '2', '3', '1']",15,335.0275390148163
79,ISI,+,21,338.7914340496063
80,single text,3,0.5,359.8252999782562
81,ISI,+,1,360.3577129840851
82,single text,2,0.5,361.3720591068268
83,ISI,+,3,361.8925430774689
84,single text,4,0.5,364.922486782074
85,ISI,+,2,365.43846583366394
86,single text,1,0.5,367.45839190483093
87,Bundle Interval,...,10,367.9716010093689
88,seq texts,"['1', '4', '2', '3', '1']",15,377.9922242164612
89,ISI,+,21,381.57508420944214
90,single text,4,0.5,402.6101851463318
91,ISI,+,6,403.1402819156647
92,single text,2,0.5,409.15821599960327
93,ISI,+,5,409.67104506492615
94,single text,1,0.5,414.69275188446045
95,ISI,+,2,415.2229640483856
96,single text,3,0.5,417.2385470867157
97,Bundle Interval,...,10,417.7577118873596
98,seq texts,"['4', '3', '2', '1', '4']",15,427.79125905036926
99,ISI,+,21,431.5398941040039
100,single text,2,0.5,452.57556319236755
101,ISI,+,4,453.10616993904114
102,single text,4,0.5,457.13973903656006
103,ISI,+,1,457.6534969806671
104,single text,3,0.5,458.67045402526855
105,ISI,+,1,459.19042205810547
106,single text,1,0.5,460.2037510871887
107,Bundle Interval,...,10,460.7199230194092
108,seq texts,"['4', '3', '2', '1', '4']",15,470.7583360671997
109,ISI,+,21,474.0723559856415
110,single text,4,0.5,495.1078579425812
111,ISI,+,2,495.63878107070923
112,single text,3,0.5,497.6558270454407
113,ISI,+,1,498.169970035553
114,single text,2,0.5,499.18644309043884
115,ISI,+,3,499.70601892471313
116,single text,1,0.5,502.72192192077637
117,Bundle Interval,...,10,503.23623514175415
118,seq texts,"['1', '4', '2', '3', '1']",15,513.2742700576782
119,ISI,+,21,517.1549870967865
-1,End,End,0,538.1607179641724
