Step,Response,seconds
1,2,1.5068979263305664
3,1,2.9160308837890625
5,4,6.7334489822387695
7,3,9.51922082901001
8,1,20.929691076278687
8,4,22.041306972503662
8,2,22.645023822784424
8,3,23.203080892562866
8,1,23.794042110443115
8,"['1', '4', '2', '3', '1']",23.79430913925171
11,2,46.7090847492218
13,1,52.829885959625244
15,3,54.11209177970886
17,4,56.45890712738037
18,4,67.24056077003479
18,3,67.61419796943665
18,2,67.98386883735657
18,1,68.62991690635681
18,4,69.1861879825592
18,"['4', '3', '2', '1', '4']",69.18644881248474
21,2,91.42942404747009
23,4,92.45623278617859
25,1,98.00572896003723
27,3,100.44328904151917
28,1,111.64996290206909
28,4,112.08797883987427
28,2,112.75148797035217
28,3,113.13936495780945
28,1,113.73405885696411
28,"['1', '4', '2', '3', '1']",113.73434901237488
31,4,135.7971897125244
33,2,142.5094130039215
35,1,147.74702310562134
37,3,150.69731497764587
38,4,161.22795796394348
38,3,161.6361939907074
38,2,162.0353639125824
38,1,162.54121589660645
38,4,163.1647629737854
38,"['4', '3', '2', '1', '4']",163.16503500938416
41,3,185.35283994674683
43,1,186.83077907562256
45,4,191.10081791877747
47,2,194.5209619998932
48,4,203.49268889427185
48,3,203.90569186210632
48,2,204.32016897201538
48,1,204.8268609046936
48,4,205.3514380455017
48,"['4', '3', '2', '1', '4']",205.35170102119446
51,3,227.19915199279785
53,4,232.50218272209167
55,2,236.46501398086548
57,1,238.74248600006104
58,1,249.92755889892578
58,4,250.44736790657043
58,2,251.10581493377686
58,3,251.53398394584656
58,4,252.14522790908813
58,"['1', '4', '2', '3', '4']",252.1455008983612
61,3,274.5035140514374
65,1,278.3603141307831
67,2,279.82625794410706
68,4,290.57763600349426
68,3,290.99367690086365
68,2,291.38906478881836
68,1,291.8174979686737
68,4,292.30543208122253
68,"['4', '3', '2', '1', '4']",292.3056969642639
71,3,314.2689678668976
73,2,318.193482875824
75,1,319.37387585639954
77,4,322.60629081726074
78,1,333.59713673591614
78,4,334.0279929637909
78,2,334.72902393341064
78,3,335.35693311691284
78,1,336.1068389415741
78,"['1', '4', '2', '3', '1']",336.1071090698242
81,2,358.2721698284149
83,3,360.96399998664856
85,1,365.2307140827179
87,4,366.6502089500427
88,1,377.25375509262085
88,4,377.69730401039124
88,2,378.46462297439575
88,3,378.95543003082275
88,1,379.78177309036255
88,"['1', '4', '2', '3', '1']",379.78205585479736
91,4,401.5656497478485
93,3,405.47735381126404
95,1,407.0983018875122
97,2,409.43138694763184
98,4,420.0110650062561
98,3,420.5192708969116
98,2,421.0687370300293
98,1,421.58088994026184
98,4,422.11068987846375
98,"['4', '3', '2', '1', '4']",422.1110188961029
101,1,444.340537071228
103,2,451.74778294563293
105,3,453.3133668899536
107,4,454.54680275917053
108,4,465.32304406166077
108,3,465.7546968460083
108,2,466.318736076355
108,1,467.04370880126953
108,4,467.5738637447357
108,"['4', '3', '2', '1', '4']",467.57413601875305
111,2,489.8973591327667
112,3,493.6463358402252
115,4,496.33141803741455
117,1,505.2816381454468
118,1,516.0087411403656
118,4,516.5004117488861
118,2,517.4086289405823
118,3,517.923141002655
118,1,518.866632938385
118,"['1', '4', '2', '3', '1']",518.8669009208679
