Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.04932904243469238
-1,single text,0 trial Ready,0.0,1.1614949703216553
0,seq texts,"['4', '1', '3', '2', '4']",6,0.008128166198730469
1,ISI,+,24,6.043806076049805
2,seq texts,"['1', '4', '2', '3', '1']",6,30.058560132980347
3,ISI,+,24,36.09429717063904
4,seq texts,"['1', '4', '2', '3', '1']",6,60.10787796974182
5,ISI,+,24,66.16113805770874
6,seq texts,"['4', '1', '3', '2', '4']",6,90.17419600486755
7,ISI,+,24,96.2283878326416
8,seq texts,"['4', '1', '3', '2', '4']",6,120.24051785469055
9,ISI,+,24,126.27880096435547
10,seq texts,"['1', '4', '2', '3', '1']",6,150.28849601745605
11,ISI,+,24,156.34581780433655
12,seq texts,"['1', '4', '2', '3', '1']",6,180.36054611206055
13,ISI,+,24,186.39680004119873
14,seq texts,"['4', '1', '3', '2', '4']",6,210.41107201576233
15,ISI,+,24,216.48015117645264
16,seq texts,"['4', '1', '3', '2', '4']",6,240.49475693702698
17,ISI,+,24,246.53075098991394
18,seq texts,"['1', '4', '2', '3', '1']",6,270.5434482097626
19,ISI,+,24,276.58474802970886
20,seq texts,"['4', '1', '3', '2', '4']",6,300.57997393608093
21,ISI,+,24,306.61668610572815
22,seq texts,"['1', '4', '2', '3', '1']",6,330.62841296195984
23,ISI,+,24,336.6802382469177
24,seq texts,"['1', '4', '2', '3', '1']",6,360.69260907173157
25,ISI,+,24,366.7459599971771
26,seq texts,"['4', '1', '3', '2', '4']",6,390.7547709941864
27,ISI,+,24,396.77867817878723
28,seq texts,"['1', '4', '2', '3', '1']",6,420.7925400733948
29,ISI,+,24,426.8452820777893
30,seq texts,"['4', '1', '3', '2', '4']",6,450.8592550754547
31,ISI,+,24,456.91135597229004
32,seq texts,"['1', '4', '2', '3', '1']",6,480.9223937988281
33,ISI,+,24,486.96145009994507
34,seq texts,"['4', '1', '3', '2', '4']",6,510.97318410873413
35,ISI,+,24,517.0285041332245
36,seq texts,"['1', '4', '2', '3', '1']",6,541.0426261425018
37,ISI,+,24,547.0937790870667
38,seq texts,"['4', '1', '3', '2', '4']",6,571.107589006424
39,ISI,+,24,577.1601638793945
40,seq texts,"['4', '1', '3', '2', '4']",6,601.1745290756226
41,ISI,+,24,607.2100839614868
42,seq texts,"['1', '4', '2', '3', '1']",6,631.2238900661469
43,ISI,+,24,637.276034116745
44,seq texts,"['4', '1', '3', '2', '4']",6,661.2872860431671
45,ISI,+,24,667.3422811031342
46,seq texts,"['1', '4', '2', '3', '1']",6,691.3561952114105
47,ISI,+,24,697.3920409679413
-1,End,End,0,721.398157119751
