Step,Response,seconds
0,4,1.101132869720459
0,1,1.4189918041229248
0,3,1.6790008544921875
0,2,1.9104418754577637
0,4,2.118648052215576
0,"['4', '1', '3', '2', '4']",2.119020938873291
0,4,3.5646588802337646
0,1,3.744696855545044
0,3,4.066659688949585
0,2,4.245429039001465
0,4,4.406389951705933
0,"['4', '1', '3', '2', '4']",4.4067158699035645
0,4,4.784978866577148
0,1,4.959442853927612
0,3,5.318878889083862
0,2,5.496405839920044
0,4,5.62441086769104
0,"['4', '1', '3', '2', '4']",5.62471079826355
2,1,30.729285717010498
2,4,30.945900917053223
2,2,31.20829176902771
2,3,31.43163800239563
2,1,31.633853912353516
2,"['1', '4', '2', '3', '1']",31.63418483734131
2,1,32.03057408332825
2,4,32.25362586975098
2,2,32.51239085197449
2,3,32.68075084686279
2,1,32.86979675292969
2,"['1', '4', '2', '3', '1']",32.870131969451904
2,1,33.14226794242859
2,4,33.42251896858215
2,2,33.62880992889404
2,3,33.8007538318634
2,1,33.98074793815613
2,"['1', '4', '2', '3', '1']",33.981032848358154
2,1,34.31624984741211
2,4,34.6124370098114
2,2,34.79693102836609
2,3,34.98467493057251
2,1,35.14975380897522
2,"['1', '4', '2', '3', '1']",35.15011286735535
2,1,35.466320753097534
2,4,35.75829768180847
2,2,35.939724922180176
4,1,60.830875873565674
4,4,61.024775981903076
4,2,61.26985287666321
4,3,61.678236961364746
4,1,61.9068648815155
4,"['1', '4', '2', '3', '1']",61.90727686882019
4,1,62.29124593734741
4,4,62.50287199020386
4,2,62.68683385848999
4,3,62.83981370925903
4,1,62.98477268218994
4,"['1', '4', '2', '3', '1']",62.98510003089905
4,1,63.33578896522522
4,4,63.55070996284485
4,2,63.73684096336365
4,3,63.86050295829773
4,1,64.04778599739075
4,"['1', '4', '2', '3', '1']",64.04809975624084
4,1,64.32930994033813
4,4,64.56980180740356
4,2,64.72812986373901
4,3,64.87612891197205
4,1,65.05275893211365
4,"['1', '4', '2', '3', '1']",65.05319881439209
4,1,65.38338088989258
4,4,65.56996607780457
4,2,65.7758457660675
4,3,65.9407868385315
4,1,66.0898277759552
4,"['1', '4', '2', '3', '1']",66.09013295173645
6,4,90.81758379936218
6,1,90.96455502510071
6,3,91.25606083869934
6,2,91.45573496818542
6,4,91.67266893386841
6,"['4', '1', '3', '2', '4']",91.67297792434692
6,4,91.97448801994324
6,1,92.15757369995117
6,3,92.39158701896667
6,2,92.58155798912048
6,4,92.74572587013245
6,"['4', '1', '3', '2', '4']",92.7460401058197
6,4,93.0241208076477
6,1,93.21459984779358
6,3,93.499196767807
6,2,93.69348669052124
6,4,93.86552381515503
6,"['4', '1', '3', '2', '4']",93.86585187911987
6,4,94.11070585250854
6,1,94.31358194351196
6,3,94.5730528831482
6,2,94.77663898468018
6,4,94.9377338886261
6,"['4', '1', '3', '2', '4']",94.93804287910461
6,4,95.25809574127197
6,1,95.44604992866516
6,3,95.66151690483093
6,2,95.8064968585968
6,4,95.99651503562927
6,"['4', '1', '3', '2', '4']",95.99685883522034
8,4,120.92084670066833
8,1,121.08505177497864
8,3,121.26098084449768
8,2,121.44405603408813
8,4,121.6330668926239
8,"['4', '1', '3', '2', '4']",121.63337588310242
8,4,121.86105585098267
8,1,122.03309273719788
8,3,122.20513367652893
8,2,122.4080138206482
8,4,122.57502269744873
8,"['4', '1', '3', '2', '4']",122.57535195350647
8,4,122.8031108379364
8,1,123.07452893257141
8,3,123.67071676254272
8,2,123.85803079605103
8,4,124.01376676559448
