Step,Event_Type,Stimulus,display_seconds,start_seconds
47,single text,,0.0,721.4629018306732
47,single text,1 trial Ready,0.0,735.5280289649963
0,seq texts,"['4', '1', '3', '2', '4']",6,0.007443904876708984
1,ISI,+,24,6.056659936904907
2,seq texts,"['1', '4', '2', '3', '1']",6,30.071467876434326
3,ISI,+,24,36.12346696853638
4,seq texts,"['4', '1', '3', '2', '4']",6,60.2233190536499
5,ISI,+,24,66.27688694000244
6,seq texts,"['1', '4', '2', '3', '1']",6,90.29279398918152
7,ISI,+,24,96.34337902069092
8,seq texts,"['1', '4', '2', '3', '1']",6,120.35795998573303
9,ISI,+,24,126.3939790725708
10,seq texts,"['4', '1', '3', '2', '4']",6,150.4077959060669
11,ISI,+,24,156.46096801757812
12,seq texts,"['4', '1', '3', '2', '4']",6,180.47563791275024
13,ISI,+,24,186.52915596961975
14,seq texts,"['1', '4', '2', '3', '1']",6,210.54039597511292
15,ISI,+,24,216.59529209136963
16,seq texts,"['1', '4', '2', '3', '1']",6,240.61035299301147
17,ISI,+,24,246.6460039615631
18,seq texts,"['4', '1', '3', '2', '4']",6,270.6607940196991
19,ISI,+,24,276.7128109931946
20,seq texts,"['1', '4', '2', '3', '1']",6,300.7279489040375
21,ISI,+,24,306.7636339664459
22,seq texts,"['4', '1', '3', '2', '4']",6,330.77445793151855
23,ISI,+,24,336.81357884407043
24,seq texts,"['4', '1', '3', '2', '4']",6,360.8277659416199
25,ISI,+,24,366.8644139766693
26,seq texts,"['1', '4', '2', '3', '1']",6,390.8796751499176
27,ISI,+,24,396.9316039085388
28,seq texts,"['1', '4', '2', '3', '1']",6,420.9467399120331
29,ISI,+,24,426.9821391105652
30,seq texts,"['4', '1', '3', '2', '4']",6,450.9935121536255
31,ISI,+,24,457.0322799682617
32,seq texts,"['1', '4', '2', '3', '1']",6,481.0442831516266
33,ISI,+,24,487.09988594055176
34,seq texts,"['4', '1', '3', '2', '4']",6,511.1147630214691
35,ISI,+,24,517.1679830551147
36,seq texts,"['1', '4', '2', '3', '1']",6,541.1799659729004
37,ISI,+,24,547.2341909408569
38,seq texts,"['4', '1', '3', '2', '4']",6,571.2484788894653
39,ISI,+,24,577.3012239933014
40,seq texts,"['4', '1', '3', '2', '4']",6,601.3129551410675
41,ISI,+,24,607.3515629768372
42,seq texts,"['1', '4', '2', '3', '1']",6,631.3618338108063
43,ISI,+,24,637.3855309486389
44,seq texts,"['4', '1', '3', '2', '4']",6,661.3963868618011
45,ISI,+,24,667.4526178836823
46,seq texts,"['1', '4', '2', '3', '1']",6,691.4673449993134
47,ISI,+,24,697.5199100971222
-1,End,End,0,721.5268230438232
