Step,Response,seconds
0,4,1.7890160083770752
0,1,1.9643077850341797
0,3,2.1221070289611816
0,2,2.3119750022888184
0,4,2.472870111465454
0,"['4', '1', '3', '2', '4']",2.473252058029175
0,4,2.694201946258545
0,1,2.880946159362793
0,3,3.0559170246124268
0,2,3.2757952213287354
0,4,3.459908962249756
0,"['4', '1', '3', '2', '4']",3.460247039794922
0,4,3.6858439445495605
0,1,3.9110591411590576
0,3,4.093952894210815
0,2,4.270920038223267
0,4,4.422782897949219
0,"['4', '1', '3', '2', '4']",4.42310905456543
0,4,4.624044895172119
0,1,4.839764833450317
0,3,5.037935018539429
0,2,5.221841096878052
0,4,5.353932857513428
0,"['4', '1', '3', '2', '4']",5.354278087615967
0,4,5.573840141296387
0,1,5.804884910583496
0,3,5.970881938934326
2,1,30.704670906066895
2,4,30.83310604095459
2,2,31.032350778579712
2,3,31.212337970733643
2,1,31.42426109313965
2,"['1', '4', '2', '3', '1']",31.424680948257446
2,1,31.6457781791687
2,4,31.843245029449463
2,2,32.002195835113525
2,3,32.166280031204224
2,1,32.337308168411255
2,"['1', '4', '2', '3', '1']",32.3377788066864
2,1,32.54428791999817
2,4,32.75619912147522
2,2,32.89643096923828
2,3,33.08043098449707
2,1,33.25134086608887
2,"['1', '4', '2', '3', '1']",33.25166893005371
2,1,33.472273111343384
2,4,33.680460929870605
2,2,33.85641312599182
2,3,34.008394956588745
2,1,34.19732594490051
2,"['1', '4', '2', '3', '1']",34.19777989387512
2,1,34.44335103034973
2,4,34.68246912956238
2,2,34.842177867889404
2,3,34.95053195953369
2,1,35.17059397697449
2,"['1', '4', '2', '3', '1']",35.17103290557861
2,1,35.40945386886597
2,4,35.76091194152832
2,2,35.93324303627014
2,3,36.077341079711914
4,4,60.8921959400177
4,1,61.03897786140442
4,3,61.22500491142273
4,2,61.383872985839844
4,4,61.500067949295044
4,"['4', '1', '3', '2', '4']",61.50044584274292
4,4,61.6970009803772
4,1,62.0197479724884
4,3,62.15516686439514
4,2,62.36090111732483
4,4,62.5091187953949
4,"['4', '1', '3', '2', '4']",62.50943398475647
4,4,62.691068172454834
4,1,63.01696300506592
4,3,63.2591028213501
4,2,63.42719793319702
4,4,63.535071849823
4,"['4', '1', '3', '2', '4']",63.53538990020752
4,4,63.71920990943909
4,1,64.00473093986511
4,3,64.20309591293335
4,2,64.72040390968323
4,4,64.84331488609314
4,"['4', '1', '3', '2', '4']",64.84361004829407
4,4,65.1442039012909
4,3,65.35017395019531
4,1,65.48704886436462
4,4,65.82953596115112
6,1,90.87975215911865
6,4,91.01290798187256
6,2,91.19514584541321
6,3,91.35117292404175
6,1,91.52812886238098
6,"['1', '4', '2', '3', '1']",91.52850198745728
6,1,91.8867609500885
6,4,92.14957690238953
6,2,92.63473701477051
6,3,92.86011576652527
6,1,93.03514695167542
6,"['1', '4', '2', '3', '1']",93.03544282913208
6,1,93.34373998641968
6,4,93.51537609100342
6,2,93.66324996948242
6,3,93.80310010910034
6,1,93.95909094810486
6,"['1', '4', '2', '3', '1']",93.95940017700195
6,1,94.23261404037476
6,4,94.42521095275879
6,2,95.03219199180603
6,3,95.2345860004425
6,1,95.41010904312134
6,"['1', '4', '2', '3', '1']",95.41043901443481
6,1,95.64438486099243
6,4,95.78399515151978
6,2,95.95322585105896
6,3,96.19727611541748
8,1,121.19037508964539
8,4,121.32219505310059
8,2,121.47241306304932
8,3,121.63638281822205
8,1,121.8013060092926
8,"['1', '4', '2', '3', '1']",121.80161714553833
8,1,122.06905102729797
8,4,122.2083740234375
8,2,122.35632085800171
8,3,122.50433993339539
8,1,122.68348503112793
8,"['1', '4', '2', '3', '1']",122.68380498886108
8,1,122.93684911727905
8,4,123.08731198310852
8,2,123.26044988632202
8,3,123.40454483032227
8,1,123.58331680297852
8,"['1', '4', '2', '3', '1']",123.58372592926025
8,1,123.83780002593994
8,4,124.0094780921936
8,2,124.18245196342468
8,3,124.3746919631958
8,1,124.56239104270935
8,"['1', '4', '2', '3', '1']",124.56270503997803
8,1,124.8261079788208
8,4,125.00635313987732
8,2,125.18145990371704
8,3,125.31398606300354
8,1,125.49451303482056
8,"['1', '4', '2', '3', '1']",125.49481582641602
8,1,125.81698703765869
8,4,126.05337595939636
8,2,126.19336104393005
8,3,126.32158207893372
10,4,151.1738018989563
10,1,151.2943458557129
10,3,151.48944306373596
10,2,151.70370197296143
10,4,151.8473460674286
10,"['4', '1', '3', '2', '4']",151.84772396087646
10,4,152.07134985923767
10,1,152.23725199699402
10,3,152.57270789146423
10,2,152.7460777759552
10,4,152.8942370414734
10,"['4', '1', '3', '2', '4']",152.89454984664917
10,4,153.0813500881195
10,1,153.28922200202942
10,3,153.49940490722656
10,2,153.66324496269226
10,4,153.79527497291565
10,"['4', '1', '3', '2', '4']",153.79558110237122
10,4,153.99625992774963
10,1,154.20128083229065
10,3,154.54474401474
10,2,154.71439409255981
10,4,154.85036516189575
10,"['4', '1', '3', '2', '4']",154.85075902938843
10,4,155.05144381523132
10,1,155.2705249786377
10,3,155.48122096061707
10,2,155.6944990158081
10,4,155.81839895248413
10,"['4', '1', '3', '2', '4']",155.81870985031128
10,4,156.02632594108582
10,1,156.2162868976593
10,3,156.3824098110199
12,4,181.3081340789795
12,1,181.46839213371277
12,3,181.65556812286377
12,2,181.8244230747223
12,4,181.95116901397705
12,"['4', '1', '3', '2', '4']",181.95149779319763
12,4,182.17720699310303
12,1,182.39509892463684
12,3,182.58914804458618
12,2,182.75506591796875
12,4,182.87509608268738
12,"['4', '1', '3', '2', '4']",182.87539911270142
12,4,183.0860869884491
12,1,183.29428005218506
12,3,183.47915410995483
12,2,183.6468789577484
12,4,183.78762197494507
12,"['4', '1', '3', '2', '4']",183.78791999816895
12,4,184.0272958278656
12,1,184.318598985672
12,3,184.52520895004272
12,2,184.74307084083557
12,4,184.98622512817383
12,"['4', '1', '3', '2', '4']",184.98655605316162
12,4,185.19303393363953
12,1,185.51567888259888
12,3,185.71904301643372
12,2,185.93212008476257
12,4,186.1470808982849
12,"['4', '1', '3', '2', '4']",186.1473948955536
14,1,211.12784600257874
14,4,211.2880699634552
14,2,211.46118187904358
14,3,211.63393092155457
14,1,211.8539581298828
14,"['1', '4', '2', '3', '1']",211.8542718887329
14,1,212.22727394104004
14,4,212.39185094833374
14,2,212.53871512413025
14,3,212.68298316001892
14,1,212.8427860736847
14,"['1', '4', '2', '3', '1']",212.84310913085938
14,1,213.0848970413208
14,4,213.25872802734375
14,2,213.40267992019653
14,3,213.59498000144958
14,1,213.7426199913025
14,"['1', '4', '2', '3', '1']",213.7429118156433
14,1,214.03630995750427
14,4,214.22783613204956
14,1,214.4278109073639
14,2,214.57587814331055
14,3,214.67194318771362
14,1,215.04514598846436
14,"['1', '4', '2', '3', '1']",215.04540300369263
14,1,215.38044786453247
14,4,215.54389810562134
14,2,215.7329671382904
14,3,215.91722202301025
14,1,216.06571578979492
14,"['1', '4', '2', '3', '1']",216.06605291366577
14,1,216.46342587471008
16,4,241.46605682373047
16,2,241.65848994255066
16,3,241.84722590446472
16,1,242.0116629600525
16,"['1', '4', '2', '3', '1']",242.01195788383484
16,1,242.3235628604889
16,4,242.4907660484314
16,2,242.6918580532074
16,3,242.92477798461914
16,1,243.107745885849
16,"['1', '4', '2', '3', '1']",243.1080379486084
16,1,243.2888538837433
16,4,243.4656970500946
16,2,243.63004517555237
16,3,243.76972699165344
16,1,243.945650100708
16,"['1', '4', '2', '3', '1']",243.94593715667725
16,1,244.16077780723572
16,4,244.31252908706665
16,2,244.5016210079193
16,3,244.6504988670349
16,1,244.78383493423462
16,"['1', '4', '2', '3', '1']",244.78410005569458
16,1,245.00488376617432
16,4,245.1724750995636
16,2,245.35962104797363
16,3,245.5722930431366
16,1,245.81379199028015
16,"['1', '4', '2', '3', '1']",245.81411600112915
16,1,246.0231490135193
16,4,246.23990893363953
16,2,246.39258193969727
16,3,246.5758500099182
18,4,271.0844168663025
18,1,271.2094929218292
18,3,271.7482678890228
18,2,271.9518630504608
18,4,272.0999050140381
18,"['4', '1', '3', '2', '4']",272.100200176239
18,4,272.33122396469116
18,1,272.5265860557556
18,3,272.73151087760925
18,2,272.9419491291046
18,4,273.1126630306244
18,"['4', '1', '3', '2', '4']",273.1129720211029
18,4,273.34304094314575
18,1,273.5689289569855
18,3,273.83882093429565
18,2,274.0059690475464
18,4,274.19013810157776
18,"['4', '1', '3', '2', '4']",274.1905550956726
18,4,274.484708070755
18,1,274.7815887928009
18,3,275.08060789108276
18,2,275.31995701789856
18,4,275.45991015434265
18,"['4', '1', '3', '2', '4']",275.4602007865906
18,4,275.6833529472351
18,1,276.01934003829956
18,3,276.3483519554138
18,2,276.5748851299286
18,4,276.67099595069885
18,"['4', '1', '3', '2', '4']",276.6712727546692
20,1,301.31054401397705
20,4,301.4433560371399
20,2,301.63250184059143
20,3,301.77648091316223
20,1,301.98681688308716
20,"['1', '4', '2', '3', '1']",301.98709893226624
20,1,302.2620220184326
20,4,302.4134268760681
20,2,302.5337541103363
20,3,302.8018448352814
20,1,302.9995319843292
20,"['1', '4', '2', '3', '1']",302.9998209476471
20,1,303.3240249156952
20,4,303.51953887939453
20,2,303.65588188171387
20,3,303.77165508270264
20,1,304.052875995636
20,"['1', '4', '2', '3', '1']",304.0531680583954
20,1,304.35491704940796
20,4,304.53828597068787
20,2,304.702800989151
20,3,304.8388719558716
20,1,305.05614399909973
20,"['1', '4', '2', '3', '1']",305.05651092529297
20,1,305.33321380615234
20,4,305.5437128543854
20,2,305.6723601818085
20,3,305.93783593177795
20,1,306.22303891181946
20,"['1', '4', '2', '3', '1']",306.223317861557
20,1,306.4568040370941
20,4,306.7090768814087
22,1,331.45945477485657
22,3,331.59992599487305
22,2,331.77129793167114
22,4,331.9453637599945
22,"['4', '1', '3', '2', '4']",331.9456629753113
22,4,332.2894220352173
22,1,332.42734599113464
22,3,332.6335480213165
22,2,332.8186399936676
22,4,333.0104160308838
22,"['4', '1', '3', '2', '4']",333.01068902015686
22,4,333.24327993392944
22,1,333.4307539463043
22,3,333.7080271244049
22,2,333.89191603660583
22,4,334.04747200012207
22,"['4', '1', '3', '2', '4']",334.0477738380432
22,4,334.35111808776855
22,1,334.54182600975037
22,3,334.90329599380493
22,2,335.1024680137634
22,4,335.26261711120605
22,"['4', '1', '3', '2', '4']",335.26290702819824
22,4,335.50058794021606
22,1,335.7396340370178
22,2,335.93957710266113
22,3,336.04747700691223
22,2,336.2636499404907
22,4,336.4039499759674
22,"['4', '1', '3', '2', '4']",336.40425395965576
22,4,336.6880099773407
24,1,361.6518030166626
24,3,361.9442710876465
24,2,362.08804392814636
24,4,362.22400999069214
24,"['4', '1', '3', '2', '4']",362.2243618965149
24,4,362.45534205436707
24,1,362.6183259487152
24,3,362.8159010410309
24,2,363.0089797973633
24,4,363.16900086402893
24,"['4', '1', '3', '2', '4']",363.1692819595337
24,4,363.41497898101807
24,1,363.6087667942047
24,3,363.78408789634705
24,2,363.9848880767822
24,4,364.13713097572327
24,"['4', '1', '3', '2', '4']",364.13741087913513
24,4,364.36386704444885
24,1,364.56889486312866
