Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.04789924621582031
-1,single text,0 trial Ready,0.0,3.849133014678955
0,seq texts,"['4', '1', '3', '2', '4']",6,0.008086919784545898
1,ISI,+,24,6.053319931030273
2,seq texts,"['1', '4', '2', '3', '1']",6,30.06801676750183
3,ISI,+,24,36.10362982749939
4,seq texts,"['1', '4', '2', '3', '1']",6,60.11456084251404
5,ISI,+,24,66.15357089042664
6,seq texts,"['4', '1', '3', '2', '4']",6,90.16743874549866
7,ISI,+,24,96.20399284362793
8,seq texts,"['4', '1', '3', '2', '4']",6,120.21303701400757
9,ISI,+,24,126.23755073547363
10,seq texts,"['1', '4', '2', '3', '1']",6,150.24765491485596
11,ISI,+,24,156.30360293388367
12,seq texts,"['4', '1', '3', '2', '4']",6,180.31820487976074
13,ISI,+,24,186.3708837032318
14,seq texts,"['1', '4', '2', '3', '1']",6,210.385901927948
15,ISI,+,24,216.42101192474365
16,seq texts,"['1', '4', '2', '3', '1']",6,240.43368291854858
17,ISI,+,24,246.48799777030945
18,seq texts,"['4', '1', '3', '2', '4']",6,270.4983580112457
19,ISI,+,24,276.55483889579773
20,seq texts,"['4', '1', '3', '2', '4']",6,300.5699551105499
21,ISI,+,24,306.6217017173767
22,seq texts,"['1', '4', '2', '3', '1']",6,330.63630270957947
23,ISI,+,24,336.68841075897217
24,seq texts,"['1', '4', '2', '3', '1']",6,360.70032477378845
25,ISI,+,24,366.7553358078003
26,seq texts,"['4', '1', '3', '2', '4']",6,390.7696669101715
27,ISI,+,24,396.8221628665924
28,seq texts,"['4', '1', '3', '2', '4']",6,420.836633682251
29,ISI,+,24,426.87247586250305
30,seq texts,"['1', '4', '2', '3', '1']",6,450.88512206077576
31,ISI,+,24,456.93909883499146
32,seq texts,"['1', '4', '2', '3', '1']",6,480.9540710449219
33,ISI,+,24,487.0061209201813
34,seq texts,"['4', '1', '3', '2', '4']",6,511.0210208892822
35,ISI,+,24,517.0728509426117
36,seq texts,"['1', '4', '2', '3', '1']",6,541.0875749588013
37,ISI,+,24,547.1397256851196
38,seq texts,"['4', '1', '3', '2', '4']",6,571.1531126499176
39,ISI,+,24,577.189493894577
40,seq texts,"['1', '4', '2', '3', '1']",6,601.2041199207306
41,ISI,+,24,607.2567489147186
42,seq texts,"['4', '1', '3', '2', '4']",6,631.2678537368774
43,ISI,+,24,637.3234927654266
44,seq texts,"['4', '1', '3', '2', '4']",6,661.3382778167725
45,ISI,+,24,667.390350818634
46,seq texts,"['1', '4', '2', '3', '1']",6,691.4032979011536
47,ISI,+,24,697.4410109519958
-1,End,End,0,721.4442698955536
