Step,Response,seconds
0,4,1.2696468830108643
0,2,1.4696450233459473
0,4,1.6056137084960938
0,1,1.7095508575439453
0,4,2.17138409614563
0,2,2.335391044616699
0,3,2.4635231494903564
0,1,2.5432019233703613
0,"['1', '4', '2', '3', '1']",2.543532133102417
0,1,2.849000930786133
0,4,2.9684500694274902
0,2,3.1884517669677734
0,3,3.3604419231414795
0,1,3.464339017868042
0,"['1', '4', '2', '3', '1']",3.464684009552002
0,1,3.7536420822143555
0,4,4.014875888824463
0,2,4.310180902481079
0,3,4.464453935623169
0,1,4.588243007659912
0,"['1', '4', '2', '3', '1']",4.58854603767395
0,1,4.879976034164429
0,4,4.979450941085815
0,2,5.163289785385132
0,3,5.287096738815308
0,1,5.395408868789673
0,"['1', '4', '2', '3', '1']",5.395721912384033
0,1,5.704688787460327
0,4,5.8564229011535645
0,2,6.0363569259643555
2,4,30.63504195213318
2,1,30.779931783676147
2,3,30.91195797920227
2,2,31.047842025756836
2,4,31.207801818847656
2,"['4', '1', '3', '2', '4']",31.2081139087677
2,4,31.541665077209473
2,1,31.704715967178345
2,3,31.898691177368164
2,2,31.966922998428345
2,4,32.15085172653198
2,"['4', '1', '3', '2', '4']",32.15116810798645
2,4,32.47122311592102
2,1,32.63491988182068
2,3,32.74681282043457
2,2,32.886730909347534
2,4,33.130799770355225
2,"['4', '1', '3', '2', '4']",33.13110876083374
2,4,33.49320197105408
2,1,33.656752824783325
2,3,33.8446090221405
2,2,34.016796827316284
2,4,34.23266100883484
2,"['4', '1', '3', '2', '4']",34.232990980148315
2,4,34.53118109703064
2,1,34.68275594711304
2,3,34.858762979507446
2,2,35.002872943878174
2,4,35.194698095321655
2,"['4', '1', '3', '2', '4']",35.195022106170654
2,4,35.55354690551758
2,1,35.77673387527466
2,3,35.89282202720642
2,2,35.96492004394531
2,4,36.100708961486816
2,"['4', '1', '3', '2', '4']",36.10102391242981
4,1,60.72599983215332
4,4,60.82569909095764
4,2,61.04720211029053
4,3,61.23139691352844
4,1,61.34733486175537
4,"['1', '4', '2', '3', '1']",61.347635984420776
4,1,61.70383906364441
4,4,61.815165996551514
4,2,62.00724983215332
4,3,62.10737586021423
4,1,62.20725607872009
4,"['1', '4', '2', '3', '1']",62.207536935806274
4,1,62.510910987854004
4,4,62.62632393836975
4,2,62.84334993362427
4,3,62.96343398094177
4,1,63.07529091835022
4,"['1', '4', '2', '3', '1']",63.075583934783936
4,1,63.34470081329346
4,4,63.48804306983948
4,1,63.69224286079407
4,2,63.77617788314819
4,3,63.88415002822876
4,1,64.02008605003357
4,"['1', '4', '2', '3', '1']",64.02036499977112
4,1,64.33467698097229
4,4,64.67366790771484
4,2,64.97165274620056
4,3,65.0951087474823
4,1,65.19137001037598
4,"['1', '4', '2', '3', '1']",65.19173502922058
4,1,65.46978998184204
4,4,65.60934782028198
4,2,65.74901604652405
4,3,65.90135884284973
4,1,65.98922395706177
4,"['1', '4', '2', '3', '1']",65.98954796791077
6,4,90.82478094100952
6,1,90.97898077964783
6,3,91.11089587211609
6,2,91.22291588783264
6,4,91.40693879127502
6,"['4', '1', '3', '2', '4']",91.40726089477539
6,4,91.7233338356018
6,1,91.87898182868958
6,3,92.01485896110535
6,2,92.1469419002533
6,4,92.35094499588013
6,"['4', '1', '3', '2', '4']",92.35128283500671
6,4,92.6905038356781
6,1,92.83810091018677
6,3,93.04381585121155
6,2,93.26797699928284
6,4,93.5078399181366
6,"['4', '1', '3', '2', '4']",93.50816297531128
6,4,93.83621096611023
6,1,93.97586488723755
6,3,94.1428611278534
6,2,94.29889988899231
6,4,94.51893305778503
6,"['4', '1', '3', '2', '4']",94.51933002471924
6,4,94.80231499671936
6,1,94.9579348564148
6,3,95.12579894065857
6,2,95.24577307701111
6,4,95.45770597457886
6,"['4', '1', '3', '2', '4']",95.45802974700928
6,4,95.76851797103882
6,1,95.95190501213074
6,3,96.11177182197571
6,2,96.22774291038513
8,4,122.07974100112915
8,1,122.17651104927063
8,3,122.29246592521667
8,2,122.39236688613892
8,4,122.53244686126709
8,"['4', '1', '3', '2', '4']",122.53276085853577
8,4,122.75549292564392
8,1,122.89536905288696
8,3,123.02735209465027
8,2,123.12743401527405
8,4,123.29564595222473
8,"['4', '1', '3', '2', '4']",123.29594898223877
8,4,123.5561158657074
8,1,123.70329976081848
8,3,123.85531497001648
8,2,123.94733500480652
8,4,124.10739588737488
8,"['4', '1', '3', '2', '4']",124.10772204399109
8,4,124.33664894104004
8,1,124.48839807510376
8,3,124.64511680603027
8,2,124.73245000839233
8,4,124.88046598434448
8,"['4', '1', '3', '2', '4']",124.8807921409607
8,4,125.10355591773987
8,1,125.29145979881287
8,3,125.41939401626587
8,1,125.53125882148743
8,3,125.62348294258118
8,2,125.6755199432373
8,4,126.0277669429779
8,"['4', '1', '3', '2', '4']",126.02809190750122
8,1,126.20348000526428
10,4,151.29702186584473
10,2,151.46522498130798
10,3,151.57310390472412
10,4,151.600919008255
10,1,151.71295475959778
10,"['1', '4', '2', '3', '1']",151.7132339477539
10,1,152.08456301689148
10,4,152.20002102851868
10,2,152.38010382652283
10,3,152.4881489276886
10,1,152.58808088302612
10,"['1', '4', '2', '3', '1']",152.58842182159424
10,1,152.88745594024658
10,4,153.03897190093994
10,2,153.21108102798462
10,3,153.34711503982544
10,1,153.47926998138428
10,"['1', '4', '2', '3', '1']",153.47954988479614
10,1,153.7984209060669
10,4,153.9260470867157
10,2,154.1147677898407
10,3,154.2538869380951
10,4,154.30206179618835
10,1,154.3698627948761
10,"['1', '4', '2', '3', '1']",154.3701729774475
10,1,154.72849488258362
10,4,154.89218091964722
10,2,155.09599804878235
10,3,155.21598482131958
10,1,155.32386589050293
10,"['1', '4', '2', '3', '1']",155.3241789340973
10,1,155.6493489742279
10,4,155.79761576652527
10,2,155.96896386146545
10,3,156.0889229774475
10,4,156.15712594985962
10,1,156.2168788909912
10,"['1', '4', '2', '3', '1']",156.21719098091125
12,4,181.04606795310974
12,1,181.1700518131256
12,3,181.27398777008057
12,2,181.37412309646606
12,1,181.4303858280182
12,4,181.48612880706787
12,"['4', '1', '3', '2', '4']",181.4864377975464
12,4,181.84460282325745
12,1,181.98817586898804
12,3,182.1119999885559
12,2,182.16431379318237
12,4,182.31996893882751
12,"['4', '1', '3', '2', '4']",182.32028007507324
12,4,182.57189512252808
12,1,182.71106886863708
12,3,182.85089993476868
12,2,182.9107768535614
12,4,183.0748929977417
12,"['4', '1', '3', '2', '4']",183.07519698143005
12,4,183.3294060230255
12,1,183.48100590705872
12,3,183.61296796798706
12,2,183.7010748386383
12,4,183.87357997894287
12,"['4', '1', '3', '2', '4']",183.87390685081482
12,4,184.10711193084717
12,1,184.2789797782898
12,3,184.42694783210754
12,2,184.5111529827118
12,4,184.66283702850342
12,"['4', '1', '3', '2', '4']",184.66315603256226
12,4,184.95448875427246
12,1,185.11802911758423
12,2,185.28202486038208
12,3,185.45787811279297
12,4,185.48643684387207
12,1,186.0789110660553
12,3,186.23880100250244
12,2,186.3389048576355
14,1,211.11010479927063
14,4,211.21848702430725
14,2,211.37839484214783
14,4,211.5143768787384
14,1,212.1788809299469
14,4,212.3633680343628
14,2,212.53542304039001
14,1,212.6833038330078
14,4,213.26235795021057
14,2,213.4632329940796
14,3,213.48646712303162
14,1,213.59823393821716
14,"['1', '4', '2', '3', '1']",213.5985391139984
14,1,213.92284488677979
14,4,214.03033185005188
14,2,214.15427899360657
14,3,214.29032397270203
14,1,214.35834503173828
14,"['1', '4', '2', '3', '1']",214.35861086845398
14,1,214.7338948249817
