Step,Response,seconds
0,1,0.9801270961761475
0,4,1.099104881286621
0,2,1.6317479610443115
0,3,1.7670838832855225
0,1,1.9293689727783203
0,"['1', '4', '2', '3', '1']",1.9297029972076416
0,1,2.470896005630493
0,4,2.60249400138855
0,2,2.787466049194336
0,3,2.8903660774230957
0,1,3.0382628440856934
0,"['1', '4', '2', '3', '1']",3.03859281539917
0,1,3.6468210220336914
0,4,3.8412718772888184
0,2,4.004299879074097
0,3,4.1164231300354
0,1,4.263370037078857
0,"['1', '4', '2', '3', '1']",4.26370096206665
0,1,4.692038059234619
0,4,4.838398218154907
0,2,5.040425062179565
0,3,5.164505958557129
0,1,5.316607236862183
0,"['1', '4', '2', '3', '1']",5.3169169425964355
0,1,5.816857099533081
2,4,31.016473054885864
2,1,31.831995964050293
2,3,32.01708984375
2,2,32.22136211395264
2,4,32.35320591926575
2,"['4', '1', '3', '2', '4']",32.353535175323486
2,4,33.062894105911255
2,1,33.25018000602722
2,3,33.5076949596405
2,2,33.794859886169434
2,4,33.95432806015015
2,"['4', '1', '3', '2', '4']",33.954649925231934
2,3,34.344696044921875
2,4,35.02700996398926
2,1,35.25122094154358
2,3,35.88285517692566
4,4,61.082026958465576
4,1,61.282975912094116
4,3,61.4472119808197
4,2,61.58700108528137
4,4,61.7031409740448
4,"['4', '1', '3', '2', '4']",61.703449964523315
4,4,62.20747208595276
4,1,62.496553897857666
4,4,62.77965998649597
4,3,62.86314296722412
4,2,63.24112391471863
4,4,63.36905789375305
4,"['4', '1', '3', '2', '4']",63.36938405036926
4,4,64.26077604293823
4,1,64.43619298934937
4,3,64.65505290031433
4,2,64.84717893600464
4,4,64.97928500175476
4,"['4', '1', '3', '2', '4']",64.9796199798584
4,4,65.56080389022827
4,1,65.85047698020935
6,3,91.77521395683289
6,1,92.23637390136719
6,4,92.41575908660889
6,3,92.59784603118896
6,2,92.741779088974
6,3,92.87796998023987
6,1,93.40060901641846
6,"['1', '4', '2', '3', '1']",93.40092206001282
6,4,93.54002499580383
6,2,93.7168140411377
6,3,93.82458782196045
6,1,93.98283505439758
6,4,94.57288098335266
6,2,94.79304313659668
6,3,94.85668182373047
6,1,95.35469722747803
