Step,Event_Type,Stimulus,display_seconds,start_seconds
47,single text,,0.0,722.2183599472046
47,single text,1 trial Ready,0.0,761.1230261325836
0,seq texts,"['4', '1', '3', '2', '4']",6,0.01766180992126465
1,ISI,+,24,6.068804025650024
2,seq texts,"['1', '4', '2', '3', '1']",6,30.083898067474365
3,ISI,+,24,36.135128021240234
4,seq texts,"['1', '4', '2', '3', '1']",6,60.15078902244568
5,ISI,+,24,66.18608403205872
6,seq texts,"['4', '1', '3', '2', '4']",6,90.20118284225464
7,ISI,+,24,96.25272297859192
8,seq texts,"['1', '4', '2', '3', '1']",6,120.26783299446106
9,ISI,+,24,126.32002091407776
10,seq texts,"['4', '1', '3', '2', '4']",6,150.3353669643402
11,ISI,+,24,156.38719606399536
12,seq texts,"['4', '1', '3', '2', '4']",6,180.4027361869812
13,ISI,+,24,186.45414185523987
14,seq texts,"['1', '4', '2', '3', '1']",6,210.46619391441345
15,ISI,+,24,216.52250385284424
16,seq texts,"['4', '1', '3', '2', '4']",6,240.53843998908997
17,ISI,+,24,246.58854818344116
18,seq texts,"['1', '4', '2', '3', '1']",6,270.6045169830322
19,ISI,+,24,276.6557848453522
20,seq texts,"['4', '1', '3', '2', '4']",6,300.6673090457916
21,ISI,+,24,306.7228741645813
22,seq texts,"['1', '4', '2', '3', '1']",6,330.73357582092285
23,ISI,+,24,336.7901089191437
24,seq texts,"['1', '4', '2', '3', '1']",6,360.8059949874878
25,ISI,+,24,366.8573718070984
26,seq texts,"['4', '1', '3', '2', '4']",6,390.87294578552246
27,ISI,+,24,396.9244239330292
28,seq texts,"['1', '4', '2', '3', '1']",6,420.94007301330566
29,ISI,+,24,426.9916150569916
30,seq texts,"['4', '1', '3', '2', '4']",6,451.0069479942322
31,ISI,+,24,457.05883598327637
32,seq texts,"['1', '4', '2', '3', '1']",6,481.07147789001465
33,ISI,+,24,487.1259059906006
34,seq texts,"['4', '1', '3', '2', '4']",6,511.1404058933258
35,ISI,+,24,517.1930501461029
36,seq texts,"['4', '1', '3', '2', '4']",6,541.2069308757782
37,ISI,+,24,547.2602210044861
38,seq texts,"['1', '4', '2', '3', '1']",6,571.2731750011444
39,ISI,+,24,577.3273220062256
40,seq texts,"['1', '4', '2', '3', '1']",6,601.3432052135468
41,ISI,+,24,607.3945000171661
42,seq texts,"['4', '1', '3', '2', '4']",6,631.4077889919281
43,ISI,+,24,637.4451839923859
44,seq texts,"['4', '1', '3', '2', '4']",6,661.4555609226227
45,ISI,+,24,667.512059211731
46,seq texts,"['1', '4', '2', '3', '1']",6,691.5243849754333
47,ISI,+,24,697.5793709754944
-1,End,End,0,721.5824339389801
