Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.015192747116088867
-1,single text,0 trial Ready,0.0,3.5942978858947754
0,seq texts,"['1', '4', '2', '3', '1']",6,0.008505105972290039
1,ISI,+,24,6.061460971832275
2,seq texts,"['4', '1', '3', '2', '4']",6,30.07693099975586
3,ISI,+,24,36.13164520263672
4,seq texts,"['4', '1', '3', '2', '4']",6,60.14591979980469
5,ISI,+,24,66.19504189491272
6,seq texts,"['1', '4', '2', '3', '1']",6,90.20627403259277
7,ISI,+,24,96.26184487342834
8,seq texts,"['4', '1', '3', '2', '4']",6,120.27174305915833
9,ISI,+,24,126.31280303001404
10,seq texts,"['1', '4', '2', '3', '1']",6,150.3284809589386
11,ISI,+,24,156.36267685890198
12,seq texts,"['1', '4', '2', '3', '1']",6,180.37636184692383
13,ISI,+,24,186.4300560951233
14,seq texts,"['4', '1', '3', '2', '4']",6,210.44147396087646
15,ISI,+,24,216.49728083610535
16,seq texts,"['4', '1', '3', '2', '4']",6,240.5125229358673
17,ISI,+,24,246.56445407867432
18,seq texts,"['1', '4', '2', '3', '1']",6,270.5800621509552
19,ISI,+,24,276.61515617370605
20,seq texts,"['1', '4', '2', '3', '1']",6,300.63031697273254
21,ISI,+,24,306.682009935379
22,seq texts,"['4', '1', '3', '2', '4']",6,330.6961660385132
23,ISI,+,24,336.7492151260376
24,seq texts,"['4', '1', '3', '2', '4']",6,360.76454401016235
25,ISI,+,24,367.5445930957794
26,seq texts,"['1', '4', '2', '3', '1']",6,391.5604660511017
27,ISI,+,24,397.6130919456482
28,seq texts,"['1', '4', '2', '3', '1']",6,421.62903904914856
29,ISI,+,24,427.6791820526123
30,seq texts,"['4', '1', '3', '2', '4']",6,451.69175601005554
31,ISI,+,24,457.7297058105469
32,seq texts,"['1', '4', '2', '3', '1']",6,481.7412300109863
33,ISI,+,24,487.7799389362335
34,seq texts,"['4', '1', '3', '2', '4']",6,511.7952890396118
35,ISI,+,24,517.847589969635
36,seq texts,"['1', '4', '2', '3', '1']",6,541.8614649772644
37,ISI,+,24,547.8979969024658
38,seq texts,"['4', '1', '3', '2', '4']",6,571.9126210212708
39,ISI,+,24,577.9647450447083
40,seq texts,"['4', '1', '3', '2', '4']",6,601.9786670207977
41,ISI,+,24,608.0321929454803
42,seq texts,"['1', '4', '2', '3', '1']",6,632.0491020679474
43,ISI,+,24,638.0829260349274
44,seq texts,"['4', '1', '3', '2', '4']",6,662.0950791835785
45,ISI,+,24,668.1498000621796
46,seq texts,"['1', '4', '2', '3', '1']",6,692.1654350757599
47,ISI,+,24,698.2000119686127
-1,End,End,0,722.2064960002899
