Step,Response,seconds
1,3,1.3549628257751465
3,1,2.7998437881469727
5,4,7.169943809509277
7,2,8.46021294593811
8,4,19.497541666030884
8,3,19.897559642791748
8,2,20.300341844558716
8,1,20.810823917388916
8,4,21.224376678466797
8,"['4', '3', '2', '1', '4']",21.224626779556274
13,3,47.87419080734253
15,2,49.27004265785217
17,4,53.98875594139099
18,1,65.14477181434631
18,4,65.66336989402771
18,2,66.27897763252258
18,3,66.73280572891235
18,1,67.19534587860107
18,"['1', '4', '2', '3', '1']",67.19558763504028
21,2,89.21541285514832
23,3,91.34457969665527
25,1,96.62224793434143
27,4,97.55902075767517
28,4,108.51799488067627
28,3,108.88668274879456
28,2,109.3287947177887
28,1,109.75712275505066
28,4,110.11364984512329
28,"['4', '3', '2', '1', '4']",110.1139087677002
31,3,132.33881759643555
35,2,144.26458477973938
37,4,149.8281307220459
38,4,160.74300575256348
38,3,161.2645559310913
38,2,161.6595709323883
38,1,162.2083718776703
38,4,162.85858988761902
38,"['4', '3', '2', '1', '4']",162.8589277267456
41,3,185.18782591819763
45,1,188.96806383132935
47,2,190.8391318321228
48,1,201.54709196090698
48,4,202.03074288368225
48,2,202.5298318862915
48,3,202.8438446521759
48,1,203.96692776679993
48,"['1', '4', '2', '3', '1']",203.96718883514404
51,2,225.98458290100098
53,1,227.70966601371765
57,3,234.47077083587646
58,1,247.0384876728058
58,4,247.5371389389038
58,2,248.1997308731079
58,3,248.5869219303131
58,1,249.53431177139282
58,"['1', '4', '2', '3', '1']",249.53486680984497
61,2,271.496022939682
63,1,278.29825258255005
65,3,279.64951491355896
67,4,281.97104382514954
68,4,292.95610070228577
68,3,293.40475583076477
68,2,293.76151180267334
68,1,294.328085899353
68,4,295.22755789756775
68,"['4', '3', '2', '1', '4']",295.22780179977417
71,1,317.76368260383606
73,2,324.6431438922882
75,3,326.1640958786011
77,4,327.7669355869293
78,1,338.9893548488617
78,4,339.5107138156891
78,2,340.1991229057312
78,3,340.63664197921753
78,1,341.26371788978577
78,"['1', '4', '2', '3', '1']",341.263977766037
81,2,363.6981256008148
83,4,365.18482184410095
85,1,370.9879038333893
87,3,372.70347785949707
88,4,383.51873874664307
88,3,383.9103627204895
88,2,384.325377702713
88,1,385.0857789516449
88,4,385.61256980895996
88,"['4', '3', '2', '1', '4']",385.6128339767456
91,4,407.8175218105316
93,3,409.8154458999634
95,2,411.857403755188
97,1,415.749520778656
98,1,426.49612069129944
98,4,427.1140327453613
98,2,427.8542766571045
98,3,428.24226689338684
98,1,429.0306158065796
98,"['1', '4', '2', '3', '1']",429.03088569641113
101,1,452.0323646068573
103,4,453.6966006755829
105,2,460.12894892692566
107,3,461.2670567035675
108,4,473.94096994400024
108,3,474.5353238582611
108,2,474.9635217189789
108,1,475.79025983810425
108,4,476.746732711792
108,"['4', '3', '2', '1', '4']",476.7469868659973
111,3,498.9455337524414
113,2,502.19867277145386
117,4,507.36486077308655
118,1,518.9309678077698
118,4,519.4158909320831
118,2,520.2154717445374
118,3,520.5902688503265
118,1,521.1236007213593
118,"['1', '4', '2', '3', '1']",521.1238646507263
