Step,Response,seconds
1,3,1.0519659519195557
3,2,4.939988851547241
5,4,6.180247783660889
7,1,9.503067970275879
8,4,20.071070909500122
8,3,20.634647846221924
8,2,21.09273076057434
8,1,21.51477575302124
8,4,22.049587965011597
8,"['4', '3', '2', '1', '4']",22.04986071586609
9,3,27.523074865341187
12,4,44.64592099189758
14,1,49.58753776550293
16,3,53.82066583633423
18,2,56.544867753982544
18,2,58.18014478683472
18,2,59.103286027908325
18,2,60.504287004470825
19,1,67.76805877685547
19,4,68.44774889945984
19,2,68.88854789733887
19,3,69.30942988395691
19,1,69.95368885993958
19,"['1', '4', '2', '3', '1']",69.95395874977112
20,1,71.00565671920776
20,4,71.51563692092896
20,2,71.987459897995
20,3,72.54648280143738
20,1,73.03153204917908
20,"['1', '4', '2', '3', '1']",73.03180074691772
