Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,539.8993599414825
119,single text,1 trial Ready,0.0,556.8204259872437
0,single text,4,0.5,0.013651847839355469
1,ISI,+,2,0.5293858051300049
2,single text,1,0.5,2.5496418476104736
3,ISI,+,2,3.062858819961548
4,single text,3,0.5,5.082160711288452
5,ISI,+,1,5.596305847167969
6,single text,2,0.5,6.612669944763184
7,Bundle Interval,...,10,7.129516839981079
8,seq texts,"['1', '4', '2', '3', '1']",15,17.167775869369507
9,ISI,+,21,20.299880743026733
10,single text,4,0.5,41.33370780944824
11,ISI,+,2,41.849966049194336
12,single text,3,0.5,43.866544008255005
13,ISI,+,1,44.38016390800476
14,single text,2,0.5,45.39696407318115
15,ISI,+,3,45.91646099090576
16,single text,1,0.5,48.92948293685913
17,Bundle Interval,...,10,49.44685411453247
18,seq texts,"['1', '4', '2', '3', '1']",15,59.468355894088745
19,ISI,+,21,62.6170608997345
20,single text,1,0.5,83.63506984710693
21,ISI,+,4,84.14986491203308
22,single text,2,0.5,88.16472697257996
23,ISI,+,1,88.68078303337097
24,single text,4,0.5,89.6976318359375
25,ISI,+,4,90.21450781822205
26,single text,3,0.5,94.23521780967712
27,Bundle Interval,...,10,94.76442003250122
28,seq texts,"['1', '4', '2', '3', '1']",15,104.80129599571228
29,ISI,+,21,108.30057001113892
30,single text,3,0.5,129.3370978832245
31,ISI,+,3,129.86748099327087
32,single text,1,0.5,132.88466787338257
33,ISI,+,8,133.39836478233337
34,single text,2,0.5,141.41923689842224
35,ISI,+,5,141.95093178749084
36,single text,4,0.5,146.96903896331787
37,Bundle Interval,...,10,147.48273992538452
38,seq texts,"['4', '3', '2', '1', '4']",15,157.5206949710846
39,ISI,+,21,160.984787940979
40,single text,1,0.5,182.0212278366089
41,ISI,+,4,182.5517599582672
42,single text,4,0.5,186.586012840271
43,ISI,+,3,187.099271774292
44,single text,3,0.5,190.11898112297058
45,ISI,+,2,190.63308382034302
46,single text,2,0.5,192.65352702140808
47,Bundle Interval,...,10,193.1658580303192
48,seq texts,"['1', '4', '2', '3', '1']",15,203.20454502105713
49,ISI,+,21,206.86887788772583
50,single text,1,0.5,227.8846869468689
51,ISI,+,2,228.40022492408752
52,single text,4,0.5,230.42037892341614
53,ISI,+,6,230.93368792533875
54,single text,2,0.5,236.97090768814087
55,ISI,+,1,237.50299382209778
56,single text,3,0.5,238.51702284812927
57,Bundle Interval,...,10,239.03378891944885
58,seq texts,"['1', '4', '2', '3', '1']",15,249.07242798805237
59,ISI,+,21,253.13467478752136
60,single text,4,0.5,274.1560649871826
61,ISI,+,1,274.68646597862244
62,single text,2,0.5,275.70080184936523
63,ISI,+,7,276.2172968387604
64,single text,3,0.5,283.237046957016
65,ISI,+,5,283.7516589164734
66,single text,1,0.5,288.77117681503296
67,Bundle Interval,...,10,289.30303978919983
68,seq texts,"['4', '3', '2', '1', '4']",15,299.3393220901489
69,ISI,+,21,302.88696789741516
70,single text,1,0.5,323.92352390289307
71,ISI,+,4,324.435644865036
72,single text,3,0.5,328.45472598075867
73,ISI,+,1,328.96808886528015
74,single text,2,0.5,329.98494482040405
75,ISI,+,4,330.50163197517395
76,single text,4,0.5,334.5226547718048
77,Bundle Interval,...,10,335.0517909526825
78,seq texts,"['1', '4', '2', '3', '1']",15,345.0886478424072
79,ISI,+,21,349.12102794647217
80,single text,1,0.5,370.14002990722656
81,ISI,+,2,370.6528220176697
82,single text,3,0.5,372.6721568107605
83,ISI,+,5,373.18585991859436
84,single text,4,0.5,378.20619797706604
85,ISI,+,6,378.7196478843689
86,single text,2,0.5,384.7398979663849
87,Bundle Interval,...,10,385.2535879611969
88,seq texts,"['4', '3', '2', '1', '4']",15,395.2912199497223
89,ISI,+,21,398.55523777008057
90,single text,2,0.5,419.59157705307007
91,ISI,+,4,420.12218284606934
92,single text,4,0.5,424.13964676856995
93,ISI,+,1,424.65319085121155
94,single text,3,0.5,425.6699299812317
95,ISI,+,1,426.18656873703003
96,single text,1,0.5,427.2030210494995
97,Bundle Interval,...,10,427.72356700897217
98,seq texts,"['4', '3', '2', '1', '4']",15,437.758024930954
99,ISI,+,21,440.9392309188843
100,single text,4,0.5,461.9753849506378
101,ISI,+,1,462.48748207092285
102,single text,1,0.5,463.5038728713989
103,ISI,+,1,464.0207178592682
104,single text,2,0.5,465.03717494010925
105,ISI,+,1,465.5538558959961
106,single text,3,0.5,466.5710377693176
107,Bundle Interval,...,10,467.0870740413666
108,seq texts,"['4', '3', '2', '1', '4']",15,477.1263258457184
109,ISI,+,21,480.4899470806122
110,single text,3,0.5,501.52397203445435
111,ISI,+,1,502.0413680076599
112,single text,2,0.5,503.07192492485046
113,ISI,+,3,503.58746099472046
114,single text,4,0.5,506.6080548763275
115,ISI,+,2,507.12119483947754
116,single text,1,0.5,509.1407630443573
117,Bundle Interval,...,10,509.6713058948517
118,seq texts,"['4', '3', '2', '1', '4']",15,519.7082979679108
119,ISI,+,21,522.6239469051361
-1,End,End,0,543.6286728382111
