Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.09355807304382324
-1,single text,0 trial Ready,0.0,25.96841311454773
0,seq texts,"['4', '3', '2', '1', '4']",3,0.010820865631103516
0,seq texts,"['*', '3', '2', '1', '4']",0.0,0.5778138637542725
0,seq texts,"['*', '*', '2', '1', '4']",0.0,0.7806060314178467
0,seq texts,"['*', '*', '*', '1', '4']",0.0,0.8357930183410645
0,seq texts,"['*', '*', '*', '*', '4']",0.0,1.0652360916137695
0,seq texts,"['4', '3', '2', '1', '4']",0.0,1.186176061630249
0,seq texts,"['*', '3', '2', '1', '4']",0.0,1.4738950729370117
0,seq texts,"['*', '*', '2', '1', '4']",0.0,1.5861949920654297
0,seq texts,"['*', '*', '*', '1', '4']",0.0,1.6717829704284668
0,seq texts,"['*', '*', '*', '*', '4']",0.0,1.8240830898284912
0,seq texts,"['4', '3', '2', '1', '4']",0.0,1.9388890266418457
0,seq texts,"['*', '3', '2', '1', '4']",0.0,2.131592035293579
0,seq texts,"['*', '*', '2', '1', '4']",0.0,2.2318460941314697
0,seq texts,"['*', '*', '*', '1', '4']",0.0,2.346486806869507
0,seq texts,"['*', '*', '*', '*', '4']",0.0,2.4885001182556152
0,seq texts,"['4', '3', '2', '1', '4']",0.0,2.6191940307617188
0,seq texts,"['*', '3', '2', '1', '4']",0.0,2.820341110229492
0,seq texts,"['*', '*', '2', '1', '4']",0.0,2.891185998916626
0,seq texts,"['*', '*', '*', '1', '4']",0.0,3.032255172729492
1,ISI,+,1,3.086454153060913
2,seq texts,"['1', '4', '2', '3', '1']",3,4.099484920501709
2,seq texts,"['*', '4', '2', '3', '1']",0.0,5.027143955230713
2,seq texts,"['*', '*', '2', '3', '1']",0.0,5.2754199504852295
2,seq texts,"['*', '*', '*', '3', '1']",0.0,5.418007850646973
2,seq texts,"['*', '*', '*', '*', '1']",0.0,5.5338029861450195
2,seq texts,"['1', '4', '2', '3', '1']",0.0,5.648758888244629
3,ISI,+,1,7.137343168258667
4,seq texts,"['1', '4', '2', '3', '1']",3,8.148651123046875
5,ISI,+,1,11.180541038513184
6,seq texts,"['4', '3', '2', '1', '4']",3,12.19472599029541
7,ISI,+,1,15.21229600906372
-1,End,End,0,16.21484088897705
-1,single text,,0.0,0.015571117401123047
-1,single text,0 trial Ready,0.0,1.851304054260254
-1,single text,,0.0,0.06726384162902832
-1,single text,0 trial Ready,0.0,13.120249032974243
0,seq texts,"['1', '4', '2', '3', '1']",5,0.011879920959472656
0,seq texts,"['*', '4', '2', '3', '1']",0.0,0.6825149059295654
0,seq texts,"['*', '*', '2', '3', '1']",0.0,0.7886679172515869
0,seq texts,"['*', '*', '*', '3', '1']",0.0,0.9212899208068848
0,seq texts,"['*', '*', '*', '*', '1']",0.0,1.0455808639526367
0,seq texts,"['1', '4', '2', '3', '1']",0.0,1.1575648784637451
0,seq texts,"['*', '4', '2', '3', '1']",0.0,1.3973009586334229
0,seq texts,"['*', '*', '2', '3', '1']",0.0,1.53529691696167
0,seq texts,"['*', '*', '*', '3', '1']",0.0,1.6713929176330566
0,seq texts,"['*', '*', '*', '*', '1']",0.0,1.7640807628631592
0,seq texts,"['1', '4', '2', '3', '1']",0.0,1.9161107540130615
0,seq texts,"['*', '4', '2', '3', '1']",0.0,2.1289730072021484
0,seq texts,"['*', '*', '2', '3', '1']",0.0,2.2556638717651367
0,seq texts,"['*', '*', '*', '3', '1']",0.0,2.3780179023742676
0,seq texts,"['*', '*', '*', '*', '1']",0.0,2.4606099128723145
0,seq texts,"['1', '4', '2', '3', '1']",0.0,2.7038419246673584
0,seq texts,"['*', '4', '2', '3', '1']",0.0,2.9239418506622314
0,seq texts,"['*', '*', '2', '3', '1']",0.0,3.0688817501068115
0,seq texts,"['*', '*', '*', '3', '1']",0.0,3.19950270652771
0,seq texts,"['*', '*', '*', '*', '1']",0.0,3.2986459732055664
0,seq texts,"['1', '4', '2', '3', '1']",0.0,3.445786714553833
0,seq texts,"['*', '4', '2', '3', '1']",0.0,3.6632540225982666
0,seq texts,"['*', '*', '2', '3', '1']",0.0,3.796639919281006
0,seq texts,"['*', '*', '*', '3', '1']",0.0,3.9476499557495117
0,seq texts,"['*', '*', '*', '*', '1']",0.0,4.035629034042358
0,seq texts,"['1', '4', '2', '3', '1']",0.0,4.190183877944946
0,seq texts,"['*', '4', '2', '3', '1']",0.0,4.398355960845947
0,seq texts,"['*', '*', '2', '3', '1']",0.0,4.557632923126221
0,seq texts,"['*', '*', '*', '3', '1']",0.0,4.717717885971069
0,seq texts,"['*', '*', '*', '*', '1']",0.0,4.797266960144043
0,seq texts,"['1', '4', '2', '3', '1']",0.0,5.009249925613403
1,ISI,+,20,5.064222812652588
2,seq texts,"['4', '3', '2', '1', '4']",5,25.074278831481934
2,seq texts,"['*', '3', '2', '1', '4']",0.0,25.964663982391357
2,seq texts,"['*', '*', '2', '1', '4']",0.0,26.049654960632324
2,seq texts,"['*', '*', '*', '1', '4']",0.0,26.199026823043823
2,seq texts,"['*', '*', '*', '*', '4']",0.0,26.29074192047119
2,seq texts,"['4', '3', '2', '1', '4']",0.0,26.472162008285522
2,seq texts,"['*', '3', '2', '1', '4']",0.0,26.668317794799805
2,seq texts,"['*', '*', '2', '1', '4']",0.0,26.782158851623535
2,seq texts,"['*', '*', '*', '1', '4']",0.0,26.934700965881348
2,seq texts,"['*', '*', '*', '*', '4']",0.0,27.04475998878479
2,seq texts,"['4', '3', '2', '1', '4']",0.0,27.173056840896606
2,seq texts,"['*', '3', '2', '1', '4']",0.0,27.367450714111328
2,seq texts,"['*', '*', '2', '1', '4']",0.0,27.452324867248535
2,seq texts,"['*', '*', '*', '1', '4']",0.0,27.598618745803833
2,seq texts,"['*', '*', '*', '*', '4']",0.0,27.70988178253174
2,seq texts,"['4', '3', '2', '1', '4']",0.0,27.836789846420288
2,seq texts,"['*', '3', '2', '1', '4']",0.0,28.02265691757202
2,seq texts,"['*', '*', '2', '1', '4']",0.0,28.11015772819519
2,seq texts,"['*', '*', '*', '1', '4']",0.0,28.250054836273193
2,seq texts,"['*', '*', '*', '*', '4']",0.0,28.358343839645386
2,seq texts,"['4', '3', '2', '1', '4']",0.0,28.49603772163391
2,seq texts,"['*', '3', '2', '1', '4']",0.0,28.66929793357849
2,seq texts,"['*', '*', '2', '1', '4']",0.0,28.773645639419556
2,seq texts,"['*', '*', '*', '1', '4']",0.0,28.905422687530518
2,seq texts,"['*', '*', '*', '*', '4']",0.0,29.01070284843445
2,seq texts,"['4', '3', '2', '1', '4']",0.0,29.13927698135376
2,seq texts,"['*', '3', '2', '1', '4']",0.0,29.302639722824097
2,seq texts,"['*', '*', '2', '1', '4']",0.0,29.39679980278015
2,seq texts,"['*', '*', '*', '1', '4']",0.0,29.535919666290283
2,seq texts,"['*', '*', '*', '*', '4']",0.0,29.641079902648926
2,seq texts,"['4', '3', '2', '1', '4']",0.0,29.77755069732666
2,seq texts,"['*', '3', '2', '1', '4']",0.0,29.936578035354614
2,seq texts,"['*', '*', '2', '1', '4']",0.0,30.032187700271606
3,ISI,+,20,30.112590789794922
4,seq texts,"['4', '3', '2', '1', '4']",5,50.12410378456116
4,seq texts,"['*', '3', '2', '1', '4']",0.0,50.87195181846619
4,seq texts,"['*', '*', '2', '1', '4']",0.0,50.977513790130615
4,seq texts,"['*', '*', '*', '1', '4']",0.0,51.11419987678528
4,seq texts,"['*', '*', '*', '*', '4']",0.0,51.26133608818054
4,seq texts,"['4', '3', '2', '1', '4']",0.0,51.38314962387085
4,seq texts,"['*', '3', '2', '1', '4']",0.0,51.54707098007202
4,seq texts,"['*', '*', '2', '1', '4']",0.0,51.636276960372925
4,seq texts,"['*', '*', '*', '1', '4']",0.0,51.762075901031494
4,seq texts,"['*', '*', '*', '*', '4']",0.0,51.93670392036438
4,seq texts,"['4', '3', '2', '1', '4']",0.0,52.05205178260803
4,seq texts,"['*', '3', '2', '1', '4']",0.0,52.2411687374115
4,seq texts,"['*', '*', '2', '1', '4']",0.0,52.32712388038635
4,seq texts,"['*', '*', '*', '1', '4']",0.0,52.47707390785217
4,seq texts,"['*', '*', '*', '*', '4']",0.0,52.57205295562744
4,seq texts,"['4', '3', '2', '1', '4']",0.0,52.7047438621521
4,seq texts,"['*', '3', '2', '1', '4']",0.0,52.8512077331543
4,seq texts,"['*', '*', '2', '1', '4']",0.0,52.93715786933899
4,seq texts,"['*', '*', '*', '1', '4']",0.0,53.07462978363037
4,seq texts,"['*', '*', '*', '*', '4']",0.0,53.16521072387695
4,seq texts,"['4', '3', '2', '1', '4']",0.0,53.30500888824463
4,seq texts,"['*', '3', '2', '1', '4']",0.0,53.47093677520752
4,seq texts,"['*', '*', '2', '1', '4']",0.0,53.558069944381714
4,seq texts,"['*', '*', '*', '1', '4']",0.0,53.68707990646362
4,seq texts,"['*', '*', '*', '*', '4']",0.0,53.77111601829529
4,seq texts,"['4', '3', '2', '1', '4']",0.0,53.89199090003967
4,seq texts,"['*', '3', '2', '1', '4']",0.0,54.08864688873291
4,seq texts,"['*', '*', '2', '1', '4']",0.0,54.15331673622131
4,seq texts,"['*', '*', '*', '1', '4']",0.0,54.2846577167511
4,seq texts,"['*', '*', '*', '*', '4']",0.0,54.37579393386841
4,seq texts,"['4', '3', '2', '1', '4']",0.0,54.51522874832153
4,seq texts,"['*', '3', '2', '1', '4']",0.0,54.89824199676514
4,seq texts,"['*', '*', '2', '1', '4']",0.0,55.010026931762695
5,ISI,+,20,55.18138384819031
6,seq texts,"['1', '4', '2', '3', '1']",5,75.19277095794678
6,seq texts,"['*', '4', '2', '3', '1']",0.0,76.28975582122803
6,seq texts,"['*', '*', '2', '3', '1']",0.0,76.41408777236938
6,seq texts,"['*', '*', '*', '3', '1']",0.0,76.85094785690308
6,seq texts,"['*', '*', '*', '*', '1']",0.0,76.97049379348755
6,seq texts,"['1', '4', '2', '3', '1']",0.0,77.1360559463501
6,seq texts,"['*', '4', '2', '3', '1']",0.0,77.33808779716492
6,seq texts,"['*', '*', '2', '3', '1']",0.0,77.43943881988525
6,seq texts,"['*', '*', '*', '3', '1']",0.0,77.56441283226013
6,seq texts,"['*', '*', '*', '*', '1']",0.0,77.65935373306274
6,seq texts,"['1', '4', '2', '3', '1']",0.0,77.81491565704346
6,seq texts,"['*', '4', '2', '3', '1']",0.0,78.02619075775146
6,seq texts,"['*', '*', '2', '3', '1']",0.0,78.15803790092468
6,seq texts,"['*', '*', '*', '3', '1']",0.0,78.35166263580322
6,seq texts,"['*', '*', '*', '*', '1']",0.0,78.52387475967407
6,seq texts,"['1', '4', '2', '3', '1']",0.0,78.66753792762756
6,seq texts,"['*', '4', '2', '3', '1']",0.0,78.94390487670898
6,seq texts,"['*', '*', '2', '3', '1']",0.0,79.12669062614441
6,seq texts,"['*', '*', '*', '3', '1']",0.0,79.3515088558197
6,seq texts,"['*', '*', '*', '*', '1']",0.0,79.49739289283752
6,seq texts,"['1', '4', '2', '3', '1']",0.0,79.67933797836304
6,seq texts,"['*', '4', '2', '3', '1']",0.0,79.90079998970032
6,seq texts,"['*', '*', '2', '3', '1']",0.0,80.04365086555481
6,seq texts,"['*', '*', '*', '3', '1']",0.0,80.19256091117859
7,ISI,+,20,80.24739980697632
